,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,88.4764633178711,Person,0,[-1.81263566  3.27559376 -2.87060499],[1.83196282 5.79017401 1.83196342],"[[376. 138.]
 [513. 138.]
 [513. 569.]
 [376. 569.]]","[[-1.3132129   6.168628   -1.6291302 ]
 [-2.9990702   6.1871734  -2.345811  ]
 [-2.2822156   6.2059183  -4.0315914 ]
 [-0.5963582   6.187373   -3.3149107 ]
 [-1.3439726   0.3790539  -1.7065867 ]
 [-3.029829    0.39759898 -2.4232671 ]
 [-2.3129745   0.41634375 -4.1090474 ]
 [-0.62711835  0.39779866 -3.392367  ]]",3.3949994191634745,"251BB640
0.391096 -0.014920 0.920229 5.811800
0.028656 0.999581 0.004027 3.234538
-0.919904 0.024795 0.391359 -2.637883
0.000000 0.000000 0.000000 1.000000
"
1,Person,80.82978820800781,Person,1,[-2.650666    3.26421452 -6.49445868],[2.02601433 5.4232235  2.02601528],"[[610. 207.]
 [725. 207.]
 [725. 516.]
 [610. 516.]]","[[-2.0998895   5.973578   -5.130521  ]
 [-3.964322    5.9940877  -5.9231167 ]
 [-3.171534    6.0148177  -7.7874646 ]
 [-1.3071014   5.994308   -6.9948683 ]
 [-2.1286998   0.55091614 -5.2030683 ]
 [-3.9931326   0.57142574 -5.9956636 ]
 [-3.2003446   0.59215593 -7.860012  ]
 [-1.3359119   0.57164633 -7.067416  ]]",7.014557984767336,"251BB640
0.391096 -0.014920 0.920229 5.811800
0.028656 0.999581 0.004027 3.234538
-0.919904 0.024795 0.391359 -2.637883
0.000000 0.000000 0.000000 1.000000
"
2,Person,77.26371765136719,Person,2,[-2.52901936  4.45627928 -9.26476097],[1.63992357 2.61632633 1.63992357],"[[763. 237.]
 [833. 237.]
 [833. 372.]
 [763. 372.]]","[[ -2.0901985   5.7624383  -8.167238 ]
 [ -3.5993319   5.77904    -8.808791 ]
 [ -2.9576237   5.7958193 -10.317857 ]
 [ -1.4484888   5.779218   -9.676303 ]
 [ -2.104097    3.146383   -8.202236 ]
 [ -3.613232    3.162984   -8.843791 ]
 [ -2.9715228   3.1797638 -10.352856 ]
 [ -1.4623879   3.1631627  -9.711303 ]]",9.603735458295839,"251BB640
0.391096 -0.014920 0.920229 5.811800
0.028656 0.999581 0.004027 3.234538
-0.919904 0.024795 0.391359 -2.637883
0.000000 0.000000 0.000000 1.000000
"
