,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,85.02082061767578,Person,0,[-4.6654458   3.11075974 -3.78024936],[1.96900547 5.25392199 1.96900606],"[[434. 213.]
 [537. 213.]
 [537. 489.]
 [434. 489.]]","[[-4.774231    5.7353034  -2.3576498 ]
 [-6.005785    5.77753    -3.893383  ]
 [-4.4697685   5.772699   -5.125297  ]
 [-3.2382143   5.7304716  -3.5895636 ]
 [-4.8547816   0.48260543 -2.437484  ]
 [-6.0863357   0.5248324  -3.973217  ]
 [-4.550319    0.5200009  -5.205131  ]
 [-3.3187659   0.47777408 -3.6693976 ]]",6.004720622844221,"3AA189E0
0.779898 -0.018031 0.625647 3.903849
0.016006 0.999832 0.008862 3.138913
-0.625702 0.003103 0.780056 2.162192
0.000000 0.000000 0.000000 1.000000
"
1,Person,82.6609115600586,Person,2,[-0.78487605  3.32684994 -9.79978561],[1.66308224 5.58921909 1.66308439],"[[784. 227.]
 [860. 227.]
 [860. 476.]
 [784. 476.]]","[[ -0.86628395   6.119328    -8.592719  ]
 [ -1.9064931    6.1549945   -9.889848  ]
 [ -0.6091259    6.1509132  -10.930362  ]
 [  0.43108281   6.115247    -9.633231  ]
 [ -0.9519754    0.53141105  -8.677649  ]
 [ -1.9921845    0.56707686  -9.974777  ]
 [ -0.69481736   0.5629962  -11.015289  ]
 [  0.34539175   0.5273302   -9.718161  ]]",9.831166181701954,"3AA189E0
0.779898 -0.018031 0.625647 3.903849
0.016006 0.999832 0.008862 3.138913
-0.625702 0.003103 0.780056 2.162192
0.000000 0.000000 0.000000 1.000000
"
2,Person,87.60263061523438,Person,1,[-4.33988142  3.4991734  -7.95945883],[1.64169359 5.80673838 1.64169443],"[[616. 225.]
 [681. 225.]
 [681. 458.]
 [616. 458.]]","[[-4.4169006   6.4004507  -6.765838  ]
 [-5.443731    6.4356585  -8.046284  ]
 [-4.163049    6.43163    -9.073414  ]
 [-3.136219    6.3964224  -7.7929683 ]
 [-4.505927    0.5950654  -6.8540716 ]
 [-5.532757    0.63027304 -8.134517  ]
 [-4.252075    0.6262446  -9.161648  ]
 [-3.2252452   0.59103703 -7.881202  ]]",9.065735247348957,"3AA189E0
0.779898 -0.018031 0.625647 3.903849
0.016006 0.999832 0.008862 3.138913
-0.625702 0.003103 0.780056 2.162192
0.000000 0.000000 0.000000 1.000000
"
