,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,91.55087280273438,Person,0,[-5.1253109   2.87343097 -1.42918706],[1.6404382  5.81898928 1.64043903],"[[252.  53.]
 [426.  53.]
 [426. 717.]
 [252. 717.]]","[[-5.1267      5.7707195  -0.2713267 ]
 [-6.2866488   5.769813   -1.4313085 ]
 [-5.126667    5.769929   -2.5912576 ]
 [-3.9667187   5.7708354  -1.4312754 ]
 [-5.124137   -0.04826862 -0.26934358]
 [-6.2840858  -0.04917501 -1.4293257 ]
 [-5.124104   -0.04905924 -2.5892742 ]
 [-3.9641554  -0.04815266 -1.4292926 ]]",5.320844618117428,"3BB1C940
0.706639 0.036172 0.706649 -0.000000
-0.015511 0.999245 -0.035638 2.833335
-0.707405 0.014223 0.706666 -0.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,64.1337890625,Person,1,[-2.50623202  2.2281189  -7.57323647],[2.54942489 4.01961422 2.54942513],"[[ 844.  280.]
 [1036.  280.]
 [1036.  576.]
 [ 844.  576.]]","[[-2.4967945   4.2174816  -5.7821074 ]
 [-4.299484    4.216073   -7.584849  ]
 [-2.4967425   4.216253   -9.387539  ]
 [-0.6940536   4.217661   -7.584798  ]
 [-2.495024    0.19786827 -5.7807374 ]
 [-4.2977133   0.1964599  -7.5834785 ]
 [-2.494972    0.19663942 -9.3861685 ]
 [-0.6922829   0.19804779 -7.5834274 ]]",7.9771617456331585,"3BB1C940
0.706639 0.036172 0.706649 -0.000000
-0.015511 0.999245 -0.035638 2.833335
-0.707405 0.014223 0.706666 -0.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,89.66997528076172,Person,2,[-6.72038078  2.73784208 -5.89349413],[1.87800157 5.60816908 1.87800276],"[[554. 223.]
 [666. 223.]
 [666. 561.]
 [554. 561.]]","[[-6.707228    5.5276203  -4.5691605 ]
 [-8.035157    5.526583   -5.897128  ]
 [-6.707191    5.5267153  -7.2250566 ]
 [-5.379262    5.5277524  -5.8970895 ]
 [-6.704758   -0.08054782 -4.5672493 ]
 [-8.032687   -0.08158503 -5.8952165 ]
 [-6.7047205  -0.08145285 -7.2231455 ]
 [-5.3767915  -0.08041544 -5.8951783 ]]",8.938500484997189,"3BB1C940
0.706639 0.036172 0.706649 -0.000000
-0.015511 0.999245 -0.035638 2.833335
-0.707405 0.014223 0.706666 -0.000000
0.000000 0.000000 0.000000 1.000000
"
