,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,77.97721099853516,Person,2,[-4.73303413  4.40704155 -3.27636051],[1.64072978 5.31446505 1.640728  ],"[[543. 198.]
 [636. 198.]
 [636. 508.]
 [543. 508.]]","[[-4.5890574  7.061421  -2.0905526]
 [-5.8701825  7.081659  -3.1153927]
 [-4.8451877  7.0916595 -4.396516 ]
 [-3.5640607  7.0714207 -3.3716755]
 [-4.6200113  1.7474592 -2.1567981]
 [-5.9011364  1.7676976 -3.1816382]
 [-4.8761406  1.7776982 -4.462761 ]
 [-3.5950146  1.7574593 -3.437921 ]]",5.756400812653494,"1C3399E0
0.624317 -0.031147 0.780551 2.917650
0.021383 0.999512 0.022782 4.424118
-0.780879 0.002468 0.624678 1.709393
0.000000 0.000000 0.000000 1.000000
"
1,Person,90.97903442382812,Person,3,[-4.34571409  4.72815704 -7.57766581],[1.68595088 5.86504316 1.68595171],"[[735. 206.]
 [813. 206.]
 [813. 477.]
 [735. 477.]]","[[-4.1987886  7.6577287 -6.3539095]
 [-5.515226   7.6785245 -7.406997 ]
 [-4.461979   7.6888013 -8.72343  ]
 [-3.1455417  7.6680045 -7.6703424]
 [-4.232949   1.7932405 -6.427018 ]
 [-5.549386   1.8140368 -7.480106 ]
 [-4.49614    1.8243129 -8.796539 ]
 [-3.179702   1.8035164 -7.743452 ]]",8.735344872199578,"1C3399E0
0.624317 -0.031147 0.780551 2.917650
0.021383 0.999512 0.022782 4.424118
-0.780879 0.002468 0.624678 1.709393
0.000000 0.000000 0.000000 1.000000
"
