,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,82.58206939697266,Person,2,[-4.56568193  4.35587358 -3.1828053 ],[1.68670881 5.3145957  1.68670917],"[[525. 241.]
 [604. 241.]
 [604. 462.]
 [525. 462.]]","[[-4.3003416  7.0035534 -1.974487 ]
 [-5.7050605  7.0319037 -2.9077334]
 [-4.771544   7.0433517 -4.312512 ]
 [-3.3668249  7.015001  -3.3792653]
 [-4.354783   1.6898308 -2.0539649]
 [-5.7595034  1.7181815 -2.9872127]
 [-4.825986   1.7296288 -4.3919907]
 [-3.4212654  1.701278  -3.4587433]]",5.565581829591983,"1C3399E0
0.553112 -0.029287 0.832592 7.028872
0.020197 0.999560 0.021743 4.305423
-0.832862 0.004790 0.553460 2.012771
0.000000 0.000000 0.000000 1.000000
"
1,Person,85.85626220703125,Person,3,[-4.03679943  4.67182493 -7.16122675],[1.68460524 5.85812044 1.68460691],"[[677. 234.]
 [740. 234.]
 [740. 445.]
 [677. 445.]]","[[-3.771086   7.591266  -5.943236 ]
 [-5.174054   7.6195817 -6.875319 ]
 [-4.2417006  7.6310143 -8.278346 ]
 [-2.8387332  7.602699  -7.346262 ]
 [-3.8310943  1.7341087 -6.0308423]
 [-5.2340617  1.7624239 -6.9629254]
 [-4.301709   1.7738569 -8.365952 ]
 [-2.8987415  1.7455416 -7.4338684]]",8.220639768381712,"1C3399E0
0.553112 -0.029287 0.832592 7.028872
0.020197 0.999560 0.021743 4.305423
-0.832862 0.004790 0.553460 2.012771
0.000000 0.000000 0.000000 1.000000
"
