,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,89.37205505371094,Person,0,[-8.43731403  2.66867018 -6.25682306],[1.97554266 5.79636955 1.97554362],"[[518. 207.]
 [719. 207.]
 [719. 717.]
 [518. 717.]]","[[-8.422349    5.6067214  -4.879098  ]
 [-9.819491    5.6062665  -6.275796  ]
 [-8.422794    5.605524   -7.672938  ]
 [-7.0256515   5.6059794  -6.2762394 ]
 [-8.422944   -0.1896478  -4.8766136 ]
 [-9.8200865  -0.19010285 -6.2733116 ]
 [-8.4233885  -0.19084477 -7.6704535 ]
 [-7.026246   -0.19038972 -6.273755  ]]",10.504099339802176,"BCB1410
0.710874 0.085993 0.698042 -4.000000
0.037994 0.986353 -0.160203 2.833333
-0.702292 0.140405 0.697906 -2.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,91.0000228881836,Person,1,[-11.72262573   2.58027792  -5.5747757 ],[2.3526454  5.85811758 2.35264707],"[[361. 255.]
 [511. 255.]
 [511. 658.]
 [361. 658.]]","[[-11.707494     5.556563    -3.937571  ]
 [-13.371331     5.5560207   -5.6008787 ]
 [-11.708024     5.555137    -7.2647147 ]
 [-10.044187     5.555679    -5.6014066 ]
 [-11.708096    -0.30155396  -3.9350607 ]
 [-13.371932    -0.30209643  -5.5983677 ]
 [-11.708625    -0.30297995  -7.2622037 ]
 [-10.044788    -0.30243787  -5.5988965 ]]",12.980680957520317,"BCB1410
0.710874 0.085993 0.698042 -4.000000
0.037994 0.986353 -0.160203 2.833333
-0.702292 0.140405 0.697906 -2.000000
0.000000 0.000000 0.000000 1.000000
"
