,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,87.489990234375,Person,0,[-14.08037853   2.60534096  -4.08432245],[2.46628594 5.97284698 2.46628571],"[[457. 272.]
 [623. 272.]
 [623. 636.]
 [457. 636.]]","[[-14.07959      5.6389813   -2.3750145 ]
 [-15.823074     5.637776    -4.1193843 ]
 [-14.078704     5.6358995   -5.8628683 ]
 [-12.335219     5.637106    -4.118498  ]
 [-14.080736    -0.33386308  -2.3697376 ]
 [-15.824221    -0.33506927  -4.114107  ]
 [-14.079851    -0.336945    -5.8575907 ]
 [-12.336368    -0.33573923  -4.1132216 ]]",14.660789525544237,"2DC64410
0.711390 0.079366 0.698301 -4.000804
0.042019 0.987023 -0.154987 2.833258
-0.701540 0.139598 0.698823 1.000831
0.000000 0.000000 0.000000 1.000000
"
1,Person,89.75907897949219,Person,1,[-15.53441143   2.63244152  -2.92295337],[2.42708445 5.82561016 2.42708611],"[[355. 298.]
 [476. 298.]
 [476. 594.]
 [355. 594.]]","[[-15.528115     5.594568    -1.2210146 ]
 [-17.243889     5.593382    -2.9376585 ]
 [-15.5272455    5.5915356   -4.6534305 ]
 [-13.811472     5.5927224   -2.936786  ]
 [-15.529236    -0.23104057  -1.2158676 ]
 [-17.24501     -0.23222719  -2.932512  ]
 [-15.528364    -0.23407282  -4.6482835 ]
 [-13.8125925   -0.2328866   -2.93164   ]]",15.807010940550562,"2DC64410
0.711390 0.079366 0.698301 -4.000804
0.042019 0.987023 -0.154987 2.833258
-0.701540 0.139598 0.698823 1.000831
0.000000 0.000000 0.000000 1.000000
"
