,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,8,[-8.35675907  2.86911178 -5.56402063],[2.18571591 5.9389863  2.1857152 ],"[[197. 188.]
 [351. 188.]
 [351. 603.]
 [197. 603.]]","[[-9.451885    5.835916   -4.468115  ]
 [-9.453176    5.8368673  -6.6538296 ]
 [-7.2674603   5.8369236  -6.655119  ]
 [-7.2661695   5.835973   -4.4694047 ]
 [-9.451734   -0.1030697  -4.4706984 ]
 [-9.453023   -0.10211853 -6.6564136 ]
 [-7.2673078  -0.10206182 -6.6577024 ]
 [-7.266018   -0.10301299 -4.4719872 ]]",10.039608946009988,"13CFFF30
0.999998 0.002113 0.000591 -2.991730
-0.002074 0.998196 -0.060007 2.831802
-0.000716 0.060006 0.998198 2.002303
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,6,[-2.35111785  2.73030567 -9.56699276],[1.70494545 5.55396271 1.70494509],"[[643. 274.]
 [722. 274.]
 [722. 531.]
 [643. 531.]]","[[ -3.2029653    5.5051208   -8.72077   ]
 [ -3.2039714    5.505862   -10.4257145 ]
 [ -1.499026     5.5059066  -10.426721  ]
 [ -1.49802      5.5051646   -8.721776  ]
 [ -3.2028234   -0.04884139  -8.723186  ]
 [ -3.2038293   -0.04809986 -10.428131  ]
 [ -1.498884    -0.04805566 -10.429136  ]
 [ -1.497878    -0.04879759  -8.724192  ]]",9.851654967860583,"13CFFF30
0.999998 0.002113 0.000591 -2.991730
-0.002074 0.998196 -0.060007 2.831802
-0.000716 0.060006 0.998198 2.002303
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,7,[-6.5419693   2.87000179 -9.63654518],[1.93270147 5.83259392 1.93270254],"[[450. 265.]
 [538. 265.]
 [538. 529.]
 [450. 529.]]","[[ -7.5066047    5.7837424   -8.661907  ]
 [ -7.5077453    5.7845826  -10.594609  ]
 [ -5.5750437    5.7846327  -10.59575   ]
 [ -5.5739036    5.7837925   -8.663048  ]
 [ -7.5064545   -0.04885058  -8.664444  ]
 [ -7.507595    -0.0480099  -10.597146  ]
 [ -5.574895    -0.04796023 -10.598287  ]
 [ -5.5737543   -0.04880092  -8.665585  ]]",11.647332971283234,"13CFFF30
0.999998 0.002113 0.000591 -2.991730
-0.002074 0.998196 -0.060007 2.831802
-0.000716 0.060006 0.998198 2.002303
0.000000 0.000000 0.000000 1.000000
"
