,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,0,[ -2.79260206   2.66255689 -10.12930584],[2.27699971 5.77941036 2.27700257],"[[1023.  153.]
 [1233.  153.]
 [1233.  676.]
 [1023.  676.]]","[[ -1.647878     5.54989     -9.008613  ]
 [ -3.9248798    5.548135    -9.00819   ]
 [ -3.9253006    5.546974   -11.285191  ]
 [ -1.648299     5.548729   -11.285612  ]
 [ -1.6434242   -0.229518    -9.005667  ]
 [ -3.920425    -0.23127249  -9.005245  ]
 [ -3.9208467   -0.2324333  -11.282245  ]
 [ -1.6438454   -0.2306788  -11.282667  ]]",10.507210051619579,"21D25280
-0.000451 0.067838 0.997696 3.000683
-0.004417 0.997686 -0.067839 2.832901
-0.999990 -0.004437 -0.000150 -4.999753
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,6,[-7.16741371  2.78700304 -9.81071472],[2.03089643 5.88060617 2.03089714],"[[855. 251.]
 [963. 251.]
 [963. 559.]
 [855. 559.]]","[[ -6.161199     5.7247972   -8.7954445 ]
 [ -8.192096     5.723232    -8.795068  ]
 [ -8.1924715    5.7221966  -10.825964  ]
 [ -6.161575     5.7237616  -10.826341  ]
 [ -6.156667    -0.15580632  -8.792448  ]
 [ -8.187565    -0.15737133  -8.792071  ]
 [ -8.187941    -0.15840659 -10.822968  ]
 [ -6.1570425   -0.15684119 -10.823344  ]]",12.149977064285624,"21D25280
-0.000451 0.067838 0.997696 3.000683
-0.004417 0.997686 -0.067839 2.832901
-0.999990 -0.004437 -0.000150 -4.999753
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,5,[-8.58167267  2.93747663 -5.93653107],[2.09166265 5.90544081 2.0916636 ],"[[645. 264.]
 [740. 264.]
 [740. 532.]
 [645. 532.]]","[[-7.5385756   5.887558   -4.8947372 ]
 [-9.630239    5.885946   -4.8943496 ]
 [-9.630625    5.8848796  -6.9860125 ]
 [-7.538962    5.886492   -6.9863997 ]
 [-7.5340247  -0.01788022 -4.891728  ]
 [-9.625688   -0.01949178 -4.8913403 ]
 [-9.626074   -0.02055832 -6.983002  ]
 [-7.534411   -0.01894677 -6.9833903 ]]",10.43491767560944,"21D25280
-0.000451 0.067838 0.997696 3.000683
-0.004417 0.997686 -0.067839 2.832901
-0.999990 -0.004437 -0.000150 -4.999753
0.000000 0.000000 0.000000 1.000000
"
