,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,5,[-3.31206036  2.73885655 -9.65800953],[2.04864669 5.64108992 2.04864764],"[[ 948.  245.]
 [1059.  245.]
 [1059.  547.]
 [ 948.  547.]]","[[ -3.299476     5.5361047   -8.223454  ]
 [ -4.7467866    5.5341406   -9.673367  ]
 [ -3.296874     5.533741   -11.120677  ]
 [ -1.8495636    5.5357046   -9.670765  ]
 [ -3.2964358   -0.10498221  -8.218849  ]
 [ -4.7437463   -0.10694654  -9.66876   ]
 [ -3.2938335   -0.10734665 -11.116072  ]
 [ -1.846523    -0.10538231  -9.66616   ]]",10.210136721276925,"33002280
0.706462 0.060952 0.705122 -1.003144
-0.024617 0.997798 -0.061587 2.836491
-0.707323 0.026151 0.706406 2.000150
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,7,[-9.06649494  2.88894248 -5.32228374],[2.0505743  5.96512222 2.05057335],"[[576. 252.]
 [676. 252.]
 [676. 542.]
 [576. 542.]]","[[ -9.057284     5.847498    -3.8743875 ]
 [-10.505956     5.845532    -5.325662  ]
 [ -9.054679     5.8451314   -6.7743344 ]
 [ -7.6060076    5.8470974   -5.3230596 ]
 [ -9.0540695   -0.11762141  -3.8695173 ]
 [-10.502741    -0.11958711  -5.320792  ]
 [ -9.051464    -0.11998799  -6.7694645 ]
 [ -7.6027927   -0.1180219   -5.3181896 ]]",10.51323141514392,"33002280
0.706462 0.060952 0.705122 -1.003144
-0.024617 0.997798 -0.061587 2.836491
-0.707323 0.026151 0.706406 2.000150
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,6,[-7.15284204  2.8673532  -9.63053322],[1.93612623 5.77516508 1.9361254 ],"[[763. 271.]
 [844. 271.]
 [844. 516.]
 [763. 516.]]","[[ -7.146021     5.7312517   -8.271414  ]
 [ -8.513838     5.729396    -9.641689  ]
 [ -7.143562     5.7290177  -11.009507  ]
 [ -5.775744     5.7308736   -9.639232  ]
 [ -7.1429076   -0.04391032  -8.2667    ]
 [ -8.510726    -0.04576632  -9.636975  ]
 [ -7.1404486   -0.04614491 -11.004792  ]
 [ -5.772631    -0.04428891  -9.634517  ]]",11.996262725894512,"33002280
0.706462 0.060952 0.705122 -1.003144
-0.024617 0.997798 -0.061587 2.836491
-0.707323 0.026151 0.706406 2.000150
0.000000 0.000000 0.000000 1.000000
"
