,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,8,[-8.32043457  2.9156301  -5.40235424],[1.69868279 5.79927301 1.69868433],"[[383. 214.]
 [493. 214.]
 [493. 578.]
 [383. 578.]]","[[-9.166954    5.808655   -4.5564895 ]
 [-9.166757    5.809139   -6.2551737 ]
 [-7.468073    5.810349   -6.254975  ]
 [-7.4682717   5.8098645  -4.556291  ]
 [-9.162823    0.00938323 -4.558142  ]
 [-9.162623    0.00986742 -6.2568274 ]
 [-7.4639406   0.0110779  -6.2566285 ]
 [-7.4641395   0.01059371 -4.557944  ]]",9.920436622337148,"28932F30
0.999982 0.006019 -0.000073 -5.003604
-0.006012 0.998106 -0.061222 2.833945
-0.000296 0.061221 0.998124 2.997334
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,9,[-2.52627826  2.74976969 -9.3679266 ],[1.70689142 5.63213539 1.70689118],"[[723. 281.]
 [797. 281.]
 [797. 521.]
 [723. 521.]]","[[ -3.3721385    5.559441    -8.50504   ]
 [ -3.371939     5.5599275  -10.211931  ]
 [ -1.6650481    5.561144   -10.211731  ]
 [ -1.6652476    5.5606575   -8.504841  ]
 [ -3.368125    -0.07269264  -8.506646  ]
 [ -3.367926    -0.0722063  -10.213536  ]
 [ -1.661035    -0.07098957 -10.213338  ]
 [ -1.661234    -0.0714763   -8.506446  ]]",9.70258370598225,"28932F30
0.999982 0.006019 -0.000073 -5.003604
-0.006012 0.998106 -0.061222 2.833945
-0.000296 0.061221 0.998124 2.997334
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,10,[-6.58569813  2.85497761 -9.44197273],[1.71606731 5.75722361 1.71606648],"[[553. 275.]
 [626. 275.]
 [626. 521.]
 [553. 521.]]","[[ -7.446124     5.726972    -8.583221  ]
 [ -7.445924     5.727462   -10.299288  ]
 [ -5.729857     5.7286844  -10.299088  ]
 [ -5.7300572    5.7281947   -8.583021  ]
 [ -7.4420214   -0.03024936  -8.584863  ]
 [ -7.441821    -0.02975989 -10.300929  ]
 [ -5.7257543   -0.0285369  -10.300729  ]
 [ -5.725955    -0.02902637  -8.584662  ]]",11.511831692302847,"28932F30
0.999982 0.006019 -0.000073 -5.003604
-0.006012 0.998106 -0.061222 2.833945
-0.000296 0.061221 0.998124 2.997334
0.000000 0.000000 0.000000 1.000000
"
