,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,87.69120788574219,Person,0,[-4.80677795  3.19238973 -5.52412653],[1.64612913 5.04848289 1.64612901],"[[527. 238.]
 [610. 238.]
 [610. 544.]
 [527. 544.]]","[[-5.6986547   5.706334   -4.821931  ]
 [-5.606799    5.6605244  -6.4648566 ]
 [-3.9633956   5.686104   -6.3736873 ]
 [-4.055251    5.731913   -4.7307615 ]
 [-5.628141    0.6604162  -4.6772933 ]
 [-5.5362854   0.61460644 -6.320218  ]
 [-3.8928814   0.6401854  -6.2290487 ]
 [-3.9847374   0.68599516 -4.586124  ]]",7.3226421608666294,"4149640
0.998462 0.006629 -0.055053 -3.934494
-0.007793 0.999749 -0.020960 3.392216
0.054901 0.021356 0.998263 3.398968
0.000000 0.000000 0.000000 1.000000
"
1,Person,85.47917938232422,Person,1,[-0.67485726  3.03403759 -6.44626045],[1.65412664 4.86722565 1.65412641],"[[748. 263.]
 [837. 263.]
 [837. 530.]
 [748. 530.]]","[[-1.5642745   5.4570136  -5.7401185 ]
 [-1.4719725   5.410982   -7.391026  ]
 [ 0.17941508  5.436685   -7.2994137 ]
 [ 0.08711313  5.482717   -5.6485066 ]
 [-1.4962922   0.59226096 -5.600674  ]
 [-1.40399     0.5462287  -7.2515807 ]
 [ 0.24739763  0.57193166 -7.159968  ]
 [ 0.1550953   0.6179639  -5.5090613 ]]",6.481489499972777,"4149640
0.998462 0.006629 -0.055053 -3.934494
-0.007793 0.999749 -0.020960 3.392216
0.054901 0.021356 0.998263 3.398968
0.000000 0.000000 0.000000 1.000000
"
