,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,83.71927642822266,Person,0,[-4.22645378  3.27147007 -4.88499737],[1.64845443 5.04695702 1.64845085],"[[527. 238.]
 [610. 238.]
 [610. 544.]
 [527. 544.]]","[[-4.6696143   5.781563   -3.836279  ]
 [-5.344043    5.743629   -5.3399734 ]
 [-3.8402143   5.762168   -6.014926  ]
 [-3.1657863   5.8001018  -4.5112305 ]
 [-4.570285    0.7362611  -3.7535503 ]
 [-5.2447124   0.69832695 -5.257245  ]
 [-3.7408843   0.71686596 -5.9321966 ]
 [-3.0664563   0.7548004  -4.428502  ]]",6.459575129062191,"4149640
0.911707 0.032265 0.409576 0.657821
-0.019169 0.999166 -0.036042 3.323016
-0.410397 0.025008 0.911563 2.651287
0.000000 0.000000 0.000000 1.000000
"
1,Person,85.71613311767578,Person,1,[-0.96962339  3.08874607 -7.59001064],[1.67556536 4.89895201 1.67556155],"[[748. 263.]
 [837. 263.]
 [837. 530.]
 [748. 530.]]","[[-1.4237498   5.5235214  -6.540236  ]
 [-2.1092696   5.4849634  -8.068661  ]
 [-0.5807096   5.503807   -8.754713  ]
 [ 0.10481057  5.5423656  -7.226288  ]
 [-1.3273324   0.6261768  -6.4599323 ]
 [-2.0128524   0.58761835 -7.9883585 ]
 [-0.4842925   0.60646266 -8.67441   ]
 [ 0.20122793  0.64502084 -7.145984  ]]",7.651694653688192,"4149640
0.911707 0.032265 0.409576 0.657821
-0.019169 0.999166 -0.036042 3.323016
-0.410397 0.025008 0.911563 2.651287
0.000000 0.000000 0.000000 1.000000
"
