,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,62.263763427734375,Person,5,[-3.39006209  4.683393   -6.4027524 ],[1.64044929 5.53699303 1.64045012],"[[810. 240.]
 [871. 240.]
 [871. 468.]
 [810. 468.]]","[[-2.4515345  7.4875    -5.790969 ]
 [-4.051328   7.464079  -5.4287696]
 [-4.413427   7.4547224 -7.028729 ]
 [-2.8136344  7.4781423 -7.3909283]
 [-2.3674614  1.9511614 -5.7776184]
 [-3.9672527  1.9277409 -5.4154196]
 [-4.3293533  1.9183838 -7.015379 ]
 [-2.7295613  1.9418043 -7.3775773]]",7.244843634473453,"2191D640
-0.221428 -0.026549 0.974815 10.212410
0.018126 0.999344 0.031334 4.734024
-0.975009 0.024607 -0.220802 -4.748749
0.000000 0.000000 0.000000 1.000000
"
1,Person,88.33977508544922,Person,0,[-1.72261941  4.78350115  1.94212794],[1.64280152 5.63446712 1.64280176],"[[450. 222.]
 [518. 222.]
 [518. 463.]
 [450. 463.]]","[[-0.77101666  7.6366353   2.5586176 ]
 [-2.3731036   7.6131816   2.9213362 ]
 [-2.7357228   7.6038103   1.3190826 ]
 [-1.1336359   7.627265    0.95636404]
 [-0.68546283  2.0028343   2.5722039 ]
 [-2.2875507   1.9793799   2.9349215 ]
 [-2.6501698   1.9700096   1.3326681 ]
 [-1.0480813   1.993464    0.9699495 ]]",2.5960120557804953,"2191D640
-0.221428 -0.026549 0.974815 10.212410
0.018126 0.999344 0.031334 4.734024
-0.975009 0.024607 -0.220802 -4.748749
0.000000 0.000000 0.000000 1.000000
"
2,Person,71.42169952392578,Person,1,[-5.41729975  4.36993885 -7.48948431],[1.98132277 5.56895924 1.98132157],"[[834. 264.]
 [906. 264.]
 [906. 466.]
 [834. 466.]]","[[-4.28355    7.1962295 -6.758988 ]
 [-6.215767   7.1679425 -6.321527 ]
 [-6.65311    7.156642  -8.253947 ]
 [-4.7208915  7.184929  -8.691407 ]
 [-4.1989927  1.6279281 -6.7455606]
 [-6.131208   1.5996412 -6.3080993]
 [-6.5685496  1.5883399 -8.240518 ]
 [-4.6363344  1.6166271 -8.677979 ]]",9.243349597731966,"2191D640
-0.221428 -0.026549 0.974815 10.212410
0.018126 0.999344 0.031334 4.734024
-0.975009 0.024607 -0.220802 -4.748749
0.000000 0.000000 0.000000 1.000000
"
3,Person,77.97692108154297,Person,2,[-3.28734255  5.75902319  6.86662674],[1.96744812 3.62396312 1.96744871],"[[333. 242.]
 [400. 242.]
 [400. 438.]
 [333. 438.]]","[[-2.124596   7.612961   7.613482 ]
 [-4.043284   7.584872   8.047881 ]
 [-4.4775624  7.57365    6.1289926]
 [-2.5588753  7.6017394  5.694595 ]
 [-2.0695705  3.9894261  7.6222205]
 [-3.9882581  3.961337   8.056618 ]
 [-4.422537   3.9501152  6.137731 ]
 [-2.503848   3.978204   5.7033324]]",7.6129615663005525,"2191D640
-0.221428 -0.026549 0.974815 10.212410
0.018126 0.999344 0.031334 4.734024
-0.975009 0.024607 -0.220802 -4.748749
0.000000 0.000000 0.000000 1.000000
"
4,Person,78.63258361816406,Person,3,[-6.44643593  4.50521469 -4.0918231 ],[2.16515017 5.48449564 2.16514969],"[[681. 250.]
 [754. 250.]
 [754. 467.]
 [681. 467.]]","[[-5.1804466  7.294996  -3.2610447]
 [-7.291936   7.2640834 -2.7829957]
 [-7.769854   7.251734  -4.894705 ]
 [-5.658365   7.2826457 -5.372754 ]
 [-5.097169   1.811148  -3.2478209]
 [-7.2086596  1.7802364 -2.7697713]
 [-7.6865783  1.7678864 -4.88148  ]
 [-5.575087   1.7987983 -5.3595304]]",7.635414361283128,"2191D640
-0.221428 -0.026549 0.974815 10.212410
0.018126 0.999344 0.031334 4.734024
-0.975009 0.024607 -0.220802 -4.748749
0.000000 0.000000 0.000000 1.000000
"
5,Person,78.20175170898438,Person,4,[-6.00207567  4.67627144 -1.15291357],[1.87682271 5.88559151 1.87682176],"[[633. 259.]
 [689. 259.]
 [689. 445.]
 [633. 445.]]","[[-4.9143314   7.6597676  -0.44882888]
 [-6.7446384   7.6329722  -0.03444007]
 [-7.158914    7.622267   -1.8649387 ]
 [-5.328607    7.649062   -2.2793274 ]
 [-4.824965    1.774872   -0.4346372 ]
 [-6.655272    1.7480764  -0.02024876]
 [-7.069548    1.7373711  -1.8507472 ]
 [-5.2392406   1.7641668  -2.2651358 ]]",6.111801868109976,"2191D640
-0.221428 -0.026549 0.974815 10.212410
0.018126 0.999344 0.031334 4.734024
-0.975009 0.024607 -0.220802 -4.748749
0.000000 0.000000 0.000000 1.000000
"
