,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,84.13934326171875,Person,0,[-11.52654171   2.95460582  -0.93963861],[1.6400696  5.99322844 1.64007044],"[[434. 134.]
 [541. 134.]
 [541. 620.]
 [434. 620.]]","[[-10.702767     5.970106    -0.12046964]
 [-12.342837     5.9688582   -0.12043972]
 [-12.342867     5.9680257   -1.760509  ]
 [-10.702797     5.969274    -1.760539  ]
 [-10.698205    -0.02312007  -0.11742938]
 [-12.338275    -0.02436849  -0.11739945]
 [-12.3383045   -0.02520056  -1.7574687 ]
 [-10.6982355   -0.02395215  -1.7574986 ]]",11.564777754726292,"20282410
0.001012 0.047231 0.998883 -5.000000
0.021265 0.998657 -0.047242 2.833333
-0.999773 0.021289 0.000006 -3.000001
0.000000 0.000000 0.000000 1.000000
"
1,Person,88.70137023925781,Person,1,[-14.70201492   2.81055498  -4.45880938],[1.74972367 5.6256752  1.74972391],"[[686. 238.]
 [780. 238.]
 [780. 547.]
 [686. 547.]]","[[-1.38314791e+01  5.64342785e+00 -3.57626724e+00]
 [-1.55812025e+01  5.64209557e+00 -3.57623506e+00]
 [-1.55812340e+01  5.64120770e+00 -5.32595873e+00]
 [-1.38315105e+01  5.64253998e+00 -5.32599068e+00]
 [-1.38271980e+01  1.77550670e-02 -3.57341337e+00]
 [-1.55769215e+01  1.64233502e-02 -3.57338119e+00]
 [-1.55769520e+01  1.55355372e-02 -5.32310486e+00]
 [-1.38272285e+01  1.68672558e-02 -5.32313681e+00]]",15.363275166718855,"20282410
0.001012 0.047231 0.998883 -5.000000
0.021265 0.998657 -0.047242 2.833333
-0.999773 0.021289 0.000006 -3.000001
0.000000 0.000000 0.000000 1.000000
"
2,Person,85.81261444091797,Person,2,[-17.2068367    2.68711042  -6.54177904],[1.84793687 5.68596601 1.84793711],"[[768. 278.]
 [848. 278.]
 [848. 523.]
 [768. 523.]]","[[-16.276676     5.5512886   -5.612413  ]
 [-18.124613     5.549882    -5.612379  ]
 [-18.124645     5.548944    -7.460315  ]
 [-16.276709     5.5503507   -7.4603496 ]
 [-16.27235     -0.13467503  -5.609529  ]
 [-18.120285    -0.13608144  -5.6094947 ]
 [-18.12032     -0.13701892  -7.457431  ]
 [-16.272383    -0.1356125   -7.4574647 ]]",18.408424763152738,"20282410
0.001012 0.047231 0.998883 -5.000000
0.021265 0.998657 -0.047242 2.833333
-0.999773 0.021289 0.000006 -3.000001
0.000000 0.000000 0.000000 1.000000
"
3,Person,83.36267852783203,Person,4,[-17.21112823   2.89701295  -0.86551601],[1.64056015 5.69217253 1.64056063],"[[527. 262.]
 [597. 262.]
 [597. 509.]
 [527. 509.]]","[[-16.393013     5.7620425   -0.04604831]
 [-18.033573     5.760794    -0.04601819]
 [-18.033602     5.7599616   -1.686578  ]
 [-16.393042     5.7612104   -1.6866082 ]
 [-16.38868      0.06987257  -0.04316057]
 [-18.02924      0.06862337  -0.04313046]
 [-18.029268     0.0677911   -1.6836905 ]
 [-16.388712     0.06904029  -1.6837205 ]]",17.232877098012068,"20282410
0.001012 0.047231 0.998883 -5.000000
0.021265 0.998657 -0.047242 2.833333
-0.999773 0.021289 0.000006 -3.000001
0.000000 0.000000 0.000000 1.000000
"
