,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,87.61637878417969,Person,0,[-13.57349586   2.90577912  -2.54573441],[1.64170754 5.93238926 1.6417073 ],"[[570. 146.]
 [667. 146.]
 [667. 625.]
 [570. 625.]]","[[-12.757589     5.8920465   -1.7165045 ]
 [-14.399296     5.890401    -1.7164692 ]
 [-14.39933      5.889942    -3.3581765 ]
 [-12.757625     5.8915877   -3.358212  ]
 [-12.751643    -0.04033952  -1.7148461 ]
 [-14.39335     -0.04198471  -1.7148107 ]
 [-14.393384    -0.04244387  -3.356518  ]
 [-12.7516775   -0.04079868  -3.3565533 ]]",13.810161246597705,"1885C410
0.001064 0.048248 0.998835 -7.000000
0.022174 0.998589 -0.048260 2.833333
-0.999754 0.022199 -0.000008 -3.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,87.74329376220703,Person,1,[-16.82631493   2.79124141  -6.13882017],[1.75548136 5.56339502 1.7554816 ],"[[784. 247.]
 [878. 247.]
 [878. 546.]
 [784. 546.]]","[[-15.952817     5.593967    -5.260765  ]
 [-17.708298     5.592207    -5.260727  ]
 [-17.708334     5.5917163   -7.016208  ]
 [-15.952854     5.5934753   -7.0162463 ]
 [-15.947241     0.03057496  -5.259209  ]
 [-17.702723     0.02881537  -5.2591715 ]
 [-17.702759     0.02832453  -7.014653  ]
 [-15.947279     0.03008412  -7.0146904 ]]",17.911169338994664,"1885C410
0.001064 0.048248 0.998835 -7.000000
0.022174 0.998589 -0.048260 2.833333
-0.999754 0.022199 -0.000008 -3.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,81.80276489257812,Person,2,[-19.3603096    2.67433763  -8.40261269],[1.64197075 5.64119434 1.64197052],"[[847. 279.]
 [911. 279.]
 [911. 523.]
 [847. 523.]]","[[-18.549223     5.5150323   -7.5946703 ]
 [-20.191193     5.5133862   -7.594635  ]
 [-20.191227     5.512927    -9.236606  ]
 [-18.549257     5.514573    -9.236641  ]
 [-18.54357     -0.12615927  -7.5930924 ]
 [-20.18554     -0.12780485  -7.5930576 ]
 [-20.185574    -0.12826401  -9.235028  ]
 [-18.543604    -0.12661803  -9.235063  ]]",21.105105728083043,"1885C410
0.001064 0.048248 0.998835 -7.000000
0.022174 0.998589 -0.048260 2.833333
-0.999754 0.022199 -0.000008 -3.000000
0.000000 0.000000 0.000000 1.000000
"
