,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,85.31395721435547,Person,0,[-15.82173157   3.02318454  -5.84761095],[1.64319181 6.05691481 1.64319158],"[[614. 220.]
 [695. 220.]
 [695. 549.]
 [614. 549.]]","[[-1.50018473e+01  6.06886387e+00 -5.02395248e+00]
 [-1.66450386e+01  6.06795788e+00 -5.02376986e+00]
 [-1.66452198e+01  6.06583548e+00 -6.66696072e+00]
 [-1.50020275e+01  6.06674099e+00 -6.66714287e+00]
 [-1.49985056e+01  1.19547602e-02 -5.01612806e+00]
 [-1.66416988e+01  1.10487621e-02 -5.01594496e+00]
 [-1.66418800e+01  8.92583560e-03 -6.65913630e+00]
 [-1.49986868e+01  9.83183365e-03 -6.65931845e+00]]",16.867772337163377,"8E2A410
0.000943 0.054803 0.998497 -5.999999
0.017889 0.998336 -0.054811 2.833333
-0.999839 0.017914 -0.000039 -6.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,86.9311294555664,Person,1,[-18.105896     2.77705622  -9.75794506],[1.6413368  5.45493841 1.64133668],"[[785. 279.]
 [850. 279.]
 [850. 519.]
 [785. 519.]]","[[-17.286657     5.5219216   -8.9407425 ]
 [-18.927994     5.521016    -8.940559  ]
 [-18.928177     5.518896   -10.581897  ]
 [-17.286839     5.519801   -10.582078  ]
 [-17.28365      0.06698855  -8.933695  ]
 [-18.924986     0.06608392  -8.933513  ]
 [-18.925167     0.06396334 -10.574849  ]
 [-17.283829     0.06486875 -10.575032  ]]",20.567959588388643,"8E2A410
0.000943 0.054803 0.998497 -5.999999
0.017889 0.998336 -0.054811 2.833333
-0.999839 0.017914 -0.000039 -6.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,87.75894165039062,Person,2,[-20.51756477   2.72411084 -12.33031082],[1.8581177  5.83562946 1.8581183 ],"[[845. 299.]
 [915. 299.]
 [915. 507.]
 [845. 507.]]","[[-19.56586      5.6615224  -11.4107065 ]
 [-21.423979     5.660498   -11.4105    ]
 [-21.424185     5.6580973  -13.268616  ]
 [-19.566065     5.659122   -13.268823  ]
 [-19.562641    -0.17410073 -11.403168  ]
 [-21.42076     -0.17512542 -11.402961  ]
 [-21.420965    -0.17752604 -13.261077  ]
 [-19.562847    -0.17650133 -13.261284  ]]",23.93756523109298,"8E2A410
0.000943 0.054803 0.998497 -5.999999
0.017889 0.998336 -0.054811 2.833333
-0.999839 0.017914 -0.000039 -6.000000
0.000000 0.000000 0.000000 1.000000
"
