,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,82.365478515625,Person,0,[ 1.11196291  3.08192635 -2.88847518],[1.80363572 5.13133097 1.80363452],"[[770. 262.]
 [865. 262.]
 [865. 517.]
 [770. 517.]]","[[ 0.08022574  5.642462   -2.276847  ]
 [ 0.40361577  5.562813   -4.049464  ]
 [ 2.1779125   5.597434   -3.7273242 ]
 [ 1.8545223   5.677083   -1.9547063 ]
 [ 0.13655683  0.5170832  -2.0362716 ]
 [ 0.45994648  0.4374342  -3.8088896 ]
 [ 2.2342436   0.47205552 -3.4867492 ]
 [ 1.9108535   0.5517046  -1.7141311 ]]",3.0951171846526613,"2F940640
0.983958 0.008437 -0.178204 -4.323791
-0.012366 0.999704 -0.020949 3.223214
0.177975 0.022816 0.983770 7.037536
0.000000 0.000000 0.000000 1.000000
"
1,Person,66.80389404296875,Person,1,[-3.70912743  3.04034114 -6.94693041],[1.64231277 4.25671244 1.64231324],"[[552. 307.]
 [610. 307.]
 [610. 468.]
 [552. 468.]]","[[-4.6817684   5.161648   -6.384166  ]
 [-4.3873034   5.0891223  -7.998236  ]
 [-2.7717056   5.120647   -7.7049093 ]
 [-3.0661705   5.1931715  -6.090839  ]
 [-4.635039    0.9098732  -6.1845965 ]
 [-4.3405743   0.83734816 -7.798667  ]
 [-2.724976    0.8688725  -7.50534   ]
 [-3.019441    0.9413977  -5.89127   ]]",7.875117038091091,"2F940640
0.983958 0.008437 -0.178204 -4.323791
-0.012366 0.999704 -0.020949 3.223214
0.177975 0.022816 0.983770 7.037536
0.000000 0.000000 0.000000 1.000000
"
