,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,86.50636291503906,Person,0,[ 0.6291064   3.0498023  -6.53810787],[1.83401847 5.2154212  1.83401811],"[[770. 262.]
 [865. 262.]
 [865. 517.]
 [770. 517.]]","[[ 0.34337324  5.6389384  -5.3368335 ]
 [-0.6434678   5.6064186  -6.8823786 ]
 [ 0.9021551   5.619618   -7.869547  ]
 [ 1.8889958   5.6521378  -6.3240013 ]
 [ 0.42478052  0.42447212 -5.279094  ]
 [-0.5620609   0.3919524  -6.8246403 ]
 [ 0.9835616   0.40515146 -7.811807  ]
 [ 1.9704028   0.4376714  -6.266262  ]]",6.568304911586153,"2F940640
0.841612 0.048202 0.537928 3.395162
-0.026164 0.998479 -0.048537 2.931740
-0.539449 0.026775 0.841592 4.426579
0.000000 0.000000 0.000000 1.000000
"
1,Person,66.38036346435547,Person,1,[-3.1922133   3.16789103 -7.40006638],[1.64439678 4.27917147 1.64439738],"[[657. 306.]
 [720. 306.]
 [720. 490.]
 [657. 490.]]","[[-3.4553692   5.2916884  -6.3023252 ]
 [-4.34018     5.2625303  -7.688075  ]
 [-2.9543612   5.274365   -8.573177  ]
 [-2.069551    5.3035226  -7.187429  ]
 [-3.388576    1.0133003  -6.2549515 ]
 [-4.2733865   0.98414314 -7.6407013 ]
 [-2.8875685   0.99597764 -8.525805  ]
 [-2.0027578   1.025135   -7.140055  ]]",8.059231234931069,"2F940640
0.841612 0.048202 0.537928 3.395162
-0.026164 0.998479 -0.048537 2.931740
-0.539449 0.026775 0.841592 4.426579
0.000000 0.000000 0.000000 1.000000
"
