,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,89.48625183105469,Person,0,[-1.07707524  1.49481249 -2.21819735],[2.06708026 2.3517971  2.06708026],"[[162. 149.]
 [659. 149.]
 [659. 714.]
 [162. 714.]]","[[-2.1387641   2.6986725  -1.1995547 ]
 [-2.114407    2.6944482  -3.2664871 ]
 [-0.04747073  2.6953583  -3.242132  ]
 [-0.07182777  2.6995823  -1.1751995 ]
 [-2.1377852   0.34688067 -1.1947371 ]
 [-2.113428    0.34265652 -3.2616694 ]
 [-0.04649207  0.34356654 -3.237314  ]
 [-0.0708491   0.3477907  -1.1703818 ]]",2.465865070050495,"25CFDEF0
0.999558 -0.027335 -0.011626 0.006010
0.025599 0.991226 -0.129675 1.530448
0.015069 0.129321 0.991488 0.002376
0.000000 0.000000 0.000000 1.000000
"
1,Person,87.02259063720703,Person,1,[ 2.05524683  1.43184781 -2.65452838],[2.16235042 2.37779403 2.16235065],"[[ 848.  225.]
 [1277.  225.]
 [1277.  697.]
 [ 848.  697.]]","[[ 0.9682772   2.6492667  -1.5885724 ]
 [ 0.99375695  2.6448479  -3.7507684 ]
 [ 3.155957    2.6457999  -3.725291  ]
 [ 3.1304772   2.6502187  -1.5630946 ]
 [ 0.9692667   0.27147788 -1.5837015 ]
 [ 0.9947464   0.26705915 -3.7458975 ]
 [ 3.1569467   0.2680111  -3.7204196 ]
 [ 3.1314669   0.2724299  -1.5582237 ]]",3.35716553798347,"25CFDEF0
0.999558 -0.027335 -0.011626 0.006010
0.025599 0.991226 -0.129675 1.530448
0.015069 0.129321 0.991488 0.002376
0.000000 0.000000 0.000000 1.000000
"
