,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,71.02204132080078,Person,0,[ 0.50480974  0.39223227 -1.92543614],[1.92609346 2.30057502 1.92609334],"[[ 490.   84.]
 [1011.   84.]
 [1011.  707.]
 [ 490.  707.]]","[[-0.45320234  1.5501112  -0.96108115]
 [-0.45382413  1.5517722  -2.8871737 ]
 [ 1.4722692   1.5515275  -2.8877957 ]
 [ 1.472891    1.5498664  -0.9617031 ]
 [-0.4534954  -0.7504629  -0.96306485]
 [-0.45411718 -0.74880165 -2.8891575 ]
 [ 1.4719759  -0.7490465  -2.8897796 ]
 [ 1.4725977  -0.7507076  -0.9636868 ]]",1.9905117926191247,"3EA19EF0
0.999982 -0.005980 0.000296 -0.000050
0.005941 0.985036 -0.172242 0.165631
0.000738 0.172241 0.985054 0.000536
0.000000 0.000000 0.000000 1.000000
"
1,Person,76.75284576416016,Person,1,[ 2.84232712  0.38650239 -2.973912  ],[1.66373003 1.80184937 1.66373062],"[[ 998.  262.]
 [1277.  262.]
 [1277.  581.]
 [ 998.  581.]]","[[ 2.04973     1.2948494  -2.1410074 ]
 [ 2.049193    1.2962842  -3.8047373 ]
 [ 3.712923    1.2960727  -3.8052742 ]
 [ 3.71346     1.294638   -2.1415446 ]
 [ 2.0495005  -0.50699925 -2.1425612 ]
 [ 2.0489633  -0.5055644  -3.8062906 ]
 [ 3.7126935  -0.50577587 -3.806828  ]
 [ 3.7132301  -0.5072106  -2.1430984 ]]",4.1137544935143495,"3EA19EF0
0.999982 -0.005980 0.000296 -0.000050
0.005941 0.985036 -0.172242 0.165631
0.000738 0.172241 0.985054 0.000536
0.000000 0.000000 0.000000 1.000000
"
