,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,88.63282775878906,Person,2,[-4.27054596  4.04408789 -7.33540678],[1.81384552 5.87890768 1.81384778],"[[894. 240.]
 [961. 240.]
 [961. 449.]
 [894. 449.]]","[[-3.3353846  6.9727187 -6.389959 ]
 [-5.1490965  6.9936514 -6.397353 ]
 [-5.141448   7.0156994 -8.211049 ]
 [-3.3277361  6.9947667 -8.203654 ]
 [-3.4029334  1.0946367 -6.4617023]
 [-5.2166452  1.1155692 -6.469096 ]
 [-5.208997   1.137618  -8.282792 ]
 [-3.395285   1.116685  -8.275397 ]]",8.48797711021902,"DDB89E0
0.003945 -0.021331 0.999765 10.445055
0.024905 0.999464 0.021226 3.671289
-0.999682 0.024815 0.004474 0.254981
0.000000 0.000000 0.000000 1.000000
"
1,Person,78.4444808959961,Person,1,[-4.28336     3.65986514 -3.23723364],[1.64026797 5.14697027 1.64026892],"[[746. 262.]
 [798. 262.]
 [798. 446.]
 [746. 446.]]","[[-3.4364045  6.223463  -2.3807871]
 [-5.0765505  6.2423925 -2.387474 ]
 [-5.069633   6.262331  -4.0276065]
 [-3.429488   6.2434015 -4.0209193]
 [-3.4955444  1.0772156 -2.4435976]
 [-5.1356874  1.0961452 -2.4502842]
 [-5.1287713  1.1160837 -4.090417 ]
 [-3.4886265  1.097154  -4.08373  ]]",5.369064588869243,"DDB89E0
0.003945 -0.021331 0.999765 10.445055
0.024905 0.999464 0.021226 3.671289
-0.999682 0.024815 0.004474 0.254981
0.000000 0.000000 0.000000 1.000000
"
2,Person,73.0408706665039,Person,0,[-5.61386442  3.79097581  5.02311134],[1.81191611 5.49260139 1.81191814],"[[464. 251.]
 [525. 251.]
 [525. 438.]
 [464. 438.]]","[[-4.6819086  6.5263133  5.9655294]
 [-6.493691   6.547224   5.9581428]
 [-6.4860506  6.569248   4.1463766]
 [-4.674268   6.548338   4.1537633]
 [-4.7450204  1.0344834  5.898501 ]
 [-6.5568     1.0553942  5.8911147]
 [-6.5491595  1.0774189  4.0793486]
 [-4.73738    1.0565084  4.086735 ]]",7.533068519194696,"DDB89E0
0.003945 -0.021331 0.999765 10.445055
0.024905 0.999464 0.021226 3.671289
-0.999682 0.024815 0.004474 0.254981
0.000000 0.000000 0.000000 1.000000
"
