,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,93.08736419677734,Person,0,[-6.83758736  2.98554444 -3.06071472],[1.67705595 4.69940281 1.67705643],"[[  0.   0.]
 [251.   0.]
 [251. 710.]
 [  0. 710.]]","[[-6.8328743  5.3550262 -1.8875809]
 [-8.018757   5.3548083 -3.0734143]
 [-6.832923   5.3540974 -4.2592964]
 [-5.647041   5.3543153 -3.0734625]
 [-6.833851   0.6556238 -1.8857402]
 [-8.019732   0.6554055 -3.071574 ]
 [-6.833899   0.6546943 -4.2574553]
 [-5.648017   0.6549127 -3.071622 ]]",7.491366728855082,"1FE31410
0.707740 0.018341 0.706235 -2.000000
0.023638 0.998489 -0.049619 2.833334
-0.706078 0.051811 0.706236 -3.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,92.53328704833984,Person,1,[-4.09394217  3.08359051 -6.43962002],[1.68352365 5.26712799 1.68352318],"[[662.   7.]
 [901.   7.]
 [901. 717.]
 [662. 717.]]","[[-4.099115    5.7380414  -5.252579  ]
 [-5.28957     5.7378225  -6.4429855 ]
 [-4.0991635   5.7371087  -7.633441  ]
 [-2.908708    5.7373276  -6.443034  ]
 [-4.1002088   0.4709141  -5.2505164 ]
 [-5.290664    0.47069505 -6.4409227 ]
 [-4.100257    0.46998128 -7.631377  ]
 [-2.909802    0.4702003  -6.440971  ]]",7.630797365264579,"1FE31410
0.707740 0.018341 0.706235 -2.000000
0.023638 0.998489 -0.049619 2.833334
-0.706078 0.051811 0.706236 -3.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,93.57039642333984,Person,2,[-2.62288141  2.741745   -9.75520325],[2.36267877 5.94373989 2.36267972],"[[ 980.  115.]
 [1216.  115.]
 [1216.  717.]
 [ 980.  717.]]","[[ -2.6249707    5.742291    -8.095866  ]
 [ -4.295672     5.7419844   -9.766499  ]
 [ -2.6250393    5.740983   -11.437199  ]
 [ -0.9543388    5.7412896   -9.766566  ]
 [ -2.6262054   -0.20144826  -8.093538  ]
 [ -4.2969065   -0.20175548  -9.764171  ]
 [ -2.626274    -0.20275672 -11.434871  ]
 [ -0.9555735   -0.2024495   -9.764238  ]]",10.101658145855124,"1FE31410
0.707740 0.018341 0.706235 -2.000000
0.023638 0.998489 -0.049619 2.833334
-0.706078 0.051811 0.706236 -3.000000
0.000000 0.000000 0.000000 1.000000
"
3,Person,89.75164031982422,Person,3,[-8.01519489  2.83449101 -8.3568306 ],[1.89892101 5.7454443  1.89892054],"[[557. 201.]
 [685. 201.]
 [685. 580.]
 [557. 580.]]","[[-8.014465    5.730628   -7.0134783 ]
 [-9.357233    5.730381   -8.35619   ]
 [-8.014521    5.729576   -9.698957  ]
 [-6.6717525   5.729823   -8.356245  ]
 [-8.015659   -0.01481571 -7.0112276 ]
 [-9.358427   -0.01506289 -8.353941  ]
 [-8.015714   -0.01586739 -9.696708  ]
 [-6.6729465  -0.0156206  -8.353995  ]]",11.579290427162833,"1FE31410
0.707740 0.018341 0.706235 -2.000000
0.023638 0.998489 -0.049619 2.833334
-0.706078 0.051811 0.706236 -3.000000
0.000000 0.000000 0.000000 1.000000
"
