,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,84.5139389038086,Person,0,[-11.36008263   2.85731936   5.56777382],[1.64046657 6.01144409 1.64046729],"[[378. 130.]
 [494. 130.]
 [494. 625.]
 [378. 625.]]","[[-10.543895     5.883763     6.3768344 ]
 [-12.184359     5.8805523    6.375882  ]
 [-12.183406     5.8800416    4.7354164 ]
 [-10.542942     5.8832517    4.736368  ]
 [-10.532135    -0.12766913   6.378714  ]
 [-12.172599    -0.13087875   6.3777623 ]
 [-12.171646    -0.13138972   4.737296  ]
 [-10.531181    -0.12817992   4.738248  ]]",12.651149456730787,"2CF39410
0.001599 0.044849 0.998993 -5.000041
0.022349 0.998743 -0.044873 2.833613
-0.999749 0.022398 0.000594 3.001247
0.000000 0.000000 0.000000 1.000000
"
1,Person,87.05701446533203,Person,1,[-14.73321056   2.77626133   2.33232641],[1.64177656 5.50536489 1.64177668],"[[647. 240.]
 [731. 240.]
 [731. 543.]
 [647. 543.]]","[[-13.918399     5.5496287    3.15803   ]
 [-15.560172     5.5464163    3.1570776 ]
 [-15.559218     5.5459046    1.5153012 ]
 [-13.917445     5.549117     1.5162538 ]
 [-13.907628     0.04427503   3.1597514 ]
 [-15.549401     0.04106307   3.158799  ]
 [-15.548449     0.04055189   1.5170225 ]
 [-13.906675     0.04376366   1.5179751 ]]",14.916676573760755,"2CF39410
0.001599 0.044849 0.998993 -5.000041
0.022349 0.998743 -0.044873 2.833613
-0.999749 0.022398 0.000594 3.001247
0.000000 0.000000 0.000000 1.000000
"
2,Person,83.90735626220703,Person,2,[-16.84249306   2.88133669   6.014359  ],[1.69552839 5.64888191 1.69552588],"[[474. 255.]
 [551. 255.]
 [551. 511.]
 [474. 511.]]","[[-16.000969     5.7267046    6.8605313 ]
 [-17.696491     5.7233872    6.859547  ]
 [-17.695509     5.722859     5.1640196 ]
 [-15.999985     5.7261763    5.1650033 ]
 [-15.989919     0.07783354   6.8622975 ]
 [-17.685442     0.07451637   6.8613133 ]
 [-17.684458     0.07398798   5.1657863 ]
 [-15.988934     0.07730535   5.1667695 ]]",17.884129459733057,"2CF39410
0.001599 0.044849 0.998993 -5.000041
0.022349 0.998743 -0.044873 2.833613
-0.999749 0.022398 0.000594 3.001247
0.000000 0.000000 0.000000 1.000000
"
3,Person,88.92049407958984,Person,3,[-17.55221367   2.67187715   0.4934172 ],[1.74395275 5.57358694 1.74395156],"[[725. 280.]
 [798. 280.]
 [798. 515.]
 [725. 515.]]","[[-16.68624      5.4805613    1.36487   ]
 [-18.430187     5.4771495    1.363858  ]
 [-18.429176     5.476606    -0.38009423]
 [-16.685226     5.4800177   -0.37908244]
 [-16.675335    -0.09301454   1.3666124 ]
 [-18.419285    -0.09642695   1.3656008 ]
 [-18.418272    -0.09697019  -0.37835145]
 [-16.674322    -0.09355818  -0.37733966]]",17.55914762204198,"2CF39410
0.001599 0.044849 0.998993 -5.000041
0.022349 0.998743 -0.044873 2.833613
-0.999749 0.022398 0.000594 3.001247
0.000000 0.000000 0.000000 1.000000
"
