,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,89.31049346923828,Person,0,[-13.4601202    2.91369104   3.89485598],[1.64219379 5.94676828 1.64219391],"[[534. 136.]
 [637. 136.]
 [637. 626.]
 [534. 626.]]","[[-12.635726     5.907479     4.715071  ]
 [-14.27792      5.9078784    4.7150874 ]
 [-14.277936     5.9078603    3.0728934 ]
 [-12.635741     5.9074607    3.0728774 ]
 [-12.637172    -0.0392892    4.7151365 ]
 [-14.279366    -0.03888969   4.7151527 ]
 [-14.279381    -0.03890768   3.0729587 ]
 [-12.637188    -0.03930719   3.0729427 ]]",14.012306694579266,"2771C410
0.001152 0.047454 0.998873 -7.000005
0.024427 0.998574 -0.047467 2.833335
-0.999701 0.024454 -0.000009 3.000001
0.000000 0.000000 0.000000 1.000000
"
1,Person,85.24291229248047,Person,1,[-16.93651772   2.79722738   0.600927  ],[1.64214575 5.59090281 1.64214706],"[[743. 249.]
 [829. 249.]
 [829. 542.]
 [743. 542.]]","[[-16.116688     5.6126757    1.4146514 ]
 [-17.758835     5.6130753    1.4146672 ]
 [-17.75885      5.6130576   -0.22747818]
 [-16.116705     5.6126575   -0.2274944 ]
 [-16.118048     0.02177271   1.4147125 ]
 [-17.760195     0.02217203   1.4147286 ]
 [-17.760212     0.02215443  -0.22741696]
 [-16.118065     0.02175452  -0.227433  ]]",16.947175150435655,"2771C410
0.001152 0.047454 0.998873 -7.000005
0.024427 0.998574 -0.047467 2.833335
-0.999701 0.024454 -0.000009 3.000001
0.000000 0.000000 0.000000 1.000000
"
2,Person,82.82144927978516,Person,2,[-19.54439354   2.71145868  -1.48055017],[1.64087772 5.41905785 1.64087677],"[[810. 281.]
 [870. 281.]
 [870. 515.]
 [810. 515.]]","[[-18.702318     5.440762    -0.65550584]
 [-20.343195     5.4411616   -0.6554898 ]
 [-20.34321      5.4411435   -2.296368  ]
 [-18.702333     5.4407444   -2.2963836 ]
 [-18.703636     0.02170407  -0.6554464 ]
 [-20.344515     0.0221028   -0.6554304 ]
 [-20.344532     0.0220856   -2.2963085 ]
 [-18.703653     0.02168647  -2.2963245 ]]",19.600391517257663,"2771C410
0.001152 0.047454 0.998873 -7.000005
0.024427 0.998574 -0.047467 2.833335
-0.999701 0.024454 -0.000009 3.000001
0.000000 0.000000 0.000000 1.000000
"
