,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,83.37810516357422,Person,0,[-4.80476236  3.26950383 -3.80727077],[1.97483957 5.25099087 1.9748379 ],"[[321. 183.]
 [455. 183.]
 [455. 539.]
 [321. 539.]]","[[-5.5639324  5.91102   -2.6408556]
 [-5.9275146  5.9254165 -4.5818825]
 [-3.986558   5.905664  -4.9455986]
 [-3.6229758  5.8912673 -3.004571 ]
 [-5.6226044  0.6604316 -2.66881  ]
 [-5.986187   0.6748289 -4.609837 ]
 [-4.0452304  0.6550764 -4.973553 ]
 [-3.6816483  0.6406792 -3.0325263]]",6.130338656992216,"3AA189E0
0.982846 -0.006549 0.184316 0.333926
0.003719 0.999870 0.015696 3.348213
-0.184394 -0.014741 0.982742 3.201018
0.000000 0.000000 0.000000 1.000000
"
1,Person,87.03609466552734,Person,1,[-4.3990984   3.63974142 -7.85429239],[1.64151847 5.80855942 1.641518  ],"[[501. 212.]
 [574. 212.]
 [574. 475.]
 [501. 475.]]","[[-5.0192037   6.5573387  -6.881441  ]
 [-5.3214192   6.5693054  -8.494855  ]
 [-3.708065    6.5528865  -8.797182  ]
 [-3.4058492   6.54092    -7.183767  ]
 [-5.0841055   0.7492242  -6.9123635 ]
 [-5.386321    0.76119107 -8.525779  ]
 [-3.7729673   0.74477243 -8.828104  ]
 [-3.4707513   0.73280555 -7.2146893 ]]",9.002331680784037,"3AA189E0
0.982846 -0.006549 0.184316 0.333926
0.003719 0.999870 0.015696 3.348213
-0.184394 -0.014741 0.982742 3.201018
0.000000 0.000000 0.000000 1.000000
"
2,Person,82.55868530273438,Person,2,[-0.48425776  3.4547286  -9.84437561],[1.63968432 5.57716656 1.6396842 ],"[[680. 239.]
 [746. 239.]
 [746. 467.]
 [680. 467.]]","[[ -1.1119254    6.256659    -8.871899  ]
 [ -1.4138032    6.2686124  -10.48351   ]
 [  0.19774859   6.2522125  -10.785498  ]
 [  0.4996263    6.2402587   -9.173887  ]
 [ -1.1742419    0.6799195   -8.90159   ]
 [ -1.47612      0.6918731  -10.513201  ]
 [  0.1354318    0.6754728  -10.81519   ]
 [  0.43731      0.6635192   -9.203579  ]]",9.856279051119758,"3AA189E0
0.982846 -0.006549 0.184316 0.333926
0.003719 0.999870 0.015696 3.348213
-0.184394 -0.014741 0.982742 3.201018
0.000000 0.000000 0.000000 1.000000
"
