,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,87.02230834960938,Person,0,[-3.56234384  3.04800248 -4.90056467],[1.64221883 5.94385242 1.64221919],"[[558. 214.]
 [637. 214.]
 [637. 549.]
 [558. 549.]]","[[-2.74542     6.0423994  -4.085499  ]
 [-4.387639    6.0417337  -4.085451  ]
 [-4.3876853   6.040234   -5.7276697 ]
 [-2.7454667   6.0408998  -5.727717  ]
 [-2.7430108   0.09855046 -4.080069  ]
 [-4.385229    0.09788499 -4.080022  ]
 [-4.385276    0.0963851  -5.7222404 ]
 [-2.7430575   0.09705057 -5.7222877 ]]",6.058533460751756,"35198410
0.001297 0.051398 0.998677 6.000001
0.024836 0.998368 -0.051414 2.833334
-0.999691 0.024870 0.000019 -6.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,88.30856323242188,Person,1,[-6.77500296  2.81851554 -8.37301826],[1.64238048 5.56465816 1.64238036],"[[721. 279.]
 [786. 279.]
 [786. 511.]
 [721. 511.]]","[[-5.9608703   5.6232147  -7.553625  ]
 [-7.6032505   5.6225495  -7.5535784 ]
 [-7.603297    5.6210494  -9.195957  ]
 [-5.9609165   5.621715   -9.196005  ]
 [-5.9586143   0.05855961 -7.5485425 ]
 [-7.600996    0.05789336 -7.548495  ]
 [-7.601043    0.05639386 -9.190874  ]
 [-5.958661    0.05705933 -9.190922  ]]",10.77070563711027,"35198410
0.001297 0.051398 0.998677 6.000001
0.024836 0.998368 -0.051414 2.833334
-0.999691 0.024870 0.000019 -6.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,88.17481994628906,Person,2,[ -9.33488464   2.69749665 -10.61309624],[1.85027575 5.6442194  1.85027516],"[[781. 301.]
 [846. 301.]
 [846. 500.]
 [781. 500.]]","[[ -8.410942     5.544515    -9.6905365 ]
 [-10.261217     5.543766    -9.690483  ]
 [-10.2612705    5.5420756  -11.540758  ]
 [ -8.4109955    5.542825   -11.540812  ]
 [ -8.408655    -0.09970129  -9.68538   ]
 [-10.25893     -0.10045104  -9.685327  ]
 [-10.258984    -0.10214102 -11.535603  ]
 [ -8.408708    -0.10139126 -11.535655  ]]",14.13428042201558,"35198410
0.001297 0.051398 0.998677 6.000001
0.024836 0.998368 -0.051414 2.833334
-0.999691 0.024870 0.000019 -6.000000
0.000000 0.000000 0.000000 1.000000
"
