,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,88.13681030273438,Person,0,[-15.57265663   2.90849423   6.64630795],[1.6414175  6.02520943 1.64141846],"[[583. 221.]
 [666. 221.]
 [666. 553.]
 [583. 553.]]","[[-14.749302     5.941554     7.465719  ]
 [-16.39072      5.941696     7.465797  ]
 [-16.390797     5.940438     5.82438   ]
 [-14.749378     5.940296     5.824302  ]
 [-14.749822    -0.08365341   7.4703393 ]
 [-16.391237    -0.08351182   7.4704165 ]
 [-16.391315    -0.08477002   5.828999  ]
 [-14.749898    -0.08491199   5.828922  ]]",16.931658036493968,"1983B410
0.001280 0.056684 0.998391 -6.000000
0.022602 0.998136 -0.056698 2.833334
-0.999744 0.022638 -0.000004 6.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,85.89376068115234,Person,3,[-18.27955627   2.84067917   2.91759038],[1.6499474  5.55594492 1.64994621],"[[753. 278.]
 [824. 278.]
 [824. 518.]
 [753. 518.]]","[[-17.454304     5.6385465    3.7410479 ]
 [-19.10425      5.638688     3.7411258 ]
 [-19.104328     5.6374235    2.0911787 ]
 [-17.454382     5.637281     2.091101  ]
 [-17.454782     0.08260328   3.7453074 ]
 [-19.104729     0.08274525   3.7453856 ]
 [-19.104807     0.08148041   2.0954387 ]
 [-17.45486      0.08133806   2.0953608 ]]",18.51092950700412,"1983B410
0.001280 0.056684 0.998391 -6.000000
0.022602 0.998136 -0.056698 2.833334
-0.999744 0.022638 -0.000004 6.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,89.54051971435547,Person,2,[-20.95400429   2.83475041   0.46516332],[1.83978248 5.65820599 1.83978271],"[[816. 303.]
 [880. 303.]
 [880. 503.]
 [816. 503.]]","[[-20.035475     5.68575      1.378241  ]
 [-21.875257     5.685909     1.3783278 ]
 [-21.875341     5.684499    -0.46145457]
 [-20.03556      5.68434     -0.46154103]
 [-20.035961     0.02754603   1.3825796 ]
 [-21.875746     0.02770462   1.3826655 ]
 [-21.875832     0.02629469  -0.45711643]
 [-20.036049     0.0261357   -0.45720324]]",20.959166791748473,"1983B410
0.001280 0.056684 0.998391 -6.000000
0.022602 0.998136 -0.056698 2.833334
-0.999744 0.022638 -0.000004 6.000000
0.000000 0.000000 0.000000 1.000000
"
