,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,89.1427230834961,Person,0,[-2.60895061  2.7148304  -7.2743926 ],[1.94644046 5.95147371 1.9464401 ],"[[599. 121.]
 [784. 121.]
 [784. 688.]
 [599. 688.]]","[[-2.6090605   5.7187057  -5.8998823 ]
 [-3.985464    5.7174306  -7.2761602 ]
 [-2.6091862   5.7168016  -8.652564  ]
 [-1.232782    5.7180767  -7.276286  ]
 [-2.6076627  -0.23276652 -5.895767  ]
 [-3.9840667  -0.23404133 -7.272045  ]
 [-2.6077883  -0.23466983 -8.648449  ]
 [-1.2313844  -0.23339503 -7.27217   ]]",7.728092331249285,"3D3DD410
0.707904 0.020201 0.706020 0.999999
0.027286 0.998063 -0.055916 2.833334
-0.705782 0.058848 0.705981 -2.999999
0.000000 0.000000 0.000000 1.000000
"
1,Person,93.41985321044922,Person,1,[-0.32376271  2.61840343 -9.90556812],[2.10063815 5.95037365 2.1006391 ],"[[ 921.  151.]
 [1114.  151.]
 [1114.  692.]
 [ 921.  692.]]","[[ -0.32233462   5.6237187   -8.422748  ]
 [ -1.8077785    5.622342    -9.908055  ]
 [ -0.32247055   5.621664   -11.393498  ]
 [  1.1629732    5.62304     -9.908191  ]
 [ -0.3209371   -0.32665342  -8.4186325 ]
 [ -1.8063815   -0.32802954  -9.90394   ]
 [ -0.32107294  -0.3287073  -11.389383  ]
 [  1.1643709   -0.32733122  -9.904076  ]]",9.910857789930708,"3D3DD410
0.707904 0.020201 0.706020 0.999999
0.027286 0.998063 -0.055916 2.833334
-0.705782 0.058848 0.705981 -2.999999
0.000000 0.000000 0.000000 1.000000
"
2,Person,92.1010971069336,Person,2,[-6.61793661  2.81471729 -4.40664911],[2.15141726 6.21776772 2.1514163 ],"[[227. 128.]
 [378. 128.]
 [378. 640.]
 [227. 640.]]","[[-6.606577    5.9547124  -2.8974829 ]
 [-8.127927    5.953303   -4.4186945 ]
 [-6.6067147   5.9526086  -5.940045  ]
 [-5.085364    5.954018   -4.4188333 ]
 [-6.605116   -0.26305342 -2.8931837 ]
 [-8.126467   -0.2644622  -4.4143953 ]
 [-6.605254   -0.2651572  -5.9357452 ]
 [-5.083904   -0.26374802 -4.414534  ]]",7.950826459683907,"3D3DD410
0.707904 0.020201 0.706020 0.999999
0.027286 0.998063 -0.055916 2.833334
-0.705782 0.058848 0.705981 -2.999999
0.000000 0.000000 0.000000 1.000000
"
