,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,89.85409545898438,Person,0,[-8.86411858  3.97650814 -1.30575407],[2.03407001 5.82459688 2.03407049],"[[319. 196.]
 [423. 196.]
 [423. 493.]
 [319. 493.]]","[[ -9.029522     6.90316      0.12099392]
 [-10.309663     6.894548    -1.4597045 ]
 [ -8.728976     6.9009295   -2.7398717 ]
 [ -7.4488344    6.9095416   -1.1591728 ]
 [ -8.999803     1.0786443    0.12865686]
 [-10.279944     1.0700327   -1.452042  ]
 [ -8.699256     1.076414    -2.732209  ]
 [ -7.419116     1.0850255   -1.1515102 ]]",8.959776325884288,"1E002640
0.776856 -0.024194 0.629213 1.963692
0.016199 0.999699 0.018439 3.851752
-0.629470 -0.004132 0.777014 3.323442
0.000000 0.000000 0.000000 1.000000
"
1,Person,82.93611145019531,Person,1,[-2.1210382   3.63263392 -6.84922028],[1.64087939 5.00238657 1.6408807 ],"[[773. 243.]
 [839. 243.]
 [839. 496.]
 [773. 496.]]","[[-2.2522838  6.1453238 -5.7008615]
 [-3.284971   6.138377  -6.976008 ]
 [-2.0098345  6.1435246 -8.008716 ]
 [-0.9771472  6.1504717 -6.733569 ]
 [-2.2267604  1.1430069 -5.694281 ]
 [-3.259447   1.1360604 -6.969426 ]
 [-1.9843105  1.141208  -8.002133 ]
 [-0.9516236  1.1481547 -6.726989 ]]",7.170120042710869,"1E002640
0.776856 -0.024194 0.629213 1.963692
0.016199 0.999699 0.018439 3.851752
-0.629470 -0.004132 0.777014 3.323442
0.000000 0.000000 0.000000 1.000000
"
2,Person,85.32101440429688,Person,2,[-6.00221729  3.8371377  -4.22803688],[1.6499716  5.68555069 1.64997244],"[[533. 217.]
 [613. 217.]
 [613. 494.]
 [533. 494.]]","[[-6.139328    6.691561   -3.0709407 ]
 [-7.177737    6.684576   -4.3531523 ]
 [-5.895535    6.689752   -5.3915815 ]
 [-4.8571258   6.6967373  -4.1093707 ]
 [-6.110319    1.0060897  -3.063461  ]
 [-7.1487265   0.99910456 -4.3456717 ]
 [-5.866525    1.0042807  -5.3841014 ]
 [-4.8281164   1.0112659  -4.101891  ]]",7.341860002249117,"1E002640
0.776856 -0.024194 0.629213 1.963692
0.016199 0.999699 0.018439 3.851752
-0.629470 -0.004132 0.777014 3.323442
0.000000 0.000000 0.000000 1.000000
"
3,Person,77.10923767089844,Person,3,[-1.59508705  3.81937289 -9.16882801],[2.02962685 5.13503265 2.02962732],"[[827. 247.]
 [918. 247.]
 [918. 475.]
 [827. 475.]]","[[ -1.7642708    6.4013014   -7.7399993 ]
 [ -3.0416157    6.392709    -9.317245  ]
 [ -1.4643812    6.3990765  -10.594615  ]
 [ -0.18703657   6.4076686   -9.01737   ]
 [ -1.7380698    1.2663401   -7.7332435 ]
 [ -3.015415     1.2577477   -9.31049   ]
 [ -1.438181     1.2641151  -10.58786   ]
 [ -0.16083537   1.2727075   -9.010614  ]]",9.306541236610407,"1E002640
0.776856 -0.024194 0.629213 1.963692
0.016199 0.999699 0.018439 3.851752
-0.629470 -0.004132 0.777014 3.323442
0.000000 0.000000 0.000000 1.000000
"
4,Person,82.63360595703125,Person,4,[-5.82212019  4.02658796 -9.42500877],[1.66670394 5.35779953 1.66670156],"[[693. 255.]
 [753. 255.]
 [753. 447.]
 [693. 447.]]","[[ -5.9595795   6.7172484  -8.255974 ]
 [ -7.0085173   6.710192   -9.551186 ]
 [ -5.713313    6.715421  -10.600145 ]
 [ -4.6643744   6.722477   -9.3049345]
 [ -5.932242    1.359523   -8.248925 ]
 [ -6.9811797   1.3524662  -9.544137 ]
 [ -5.6859756   1.357695  -10.593098 ]
 [ -4.637037    1.3647515  -9.297886 ]]",11.078261320676729,"1E002640
0.776856 -0.024194 0.629213 1.963692
0.016199 0.999699 0.018439 3.851752
-0.629470 -0.004132 0.777014 3.323442
0.000000 0.000000 0.000000 1.000000
"
