,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,88.707763671875,Person,0,[ 4.53899956  3.86037803 -4.80697441],[1.90200722 5.80926609 1.90200722],"[[803.  86.]
 [955.  86.]
 [955. 602.]
 [803. 602.]]","[[ 5.816617    6.7791185  -4.3347344 ]
 [ 4.082324    6.792051   -3.5539064 ]
 [ 3.301593    6.806851   -5.2882285 ]
 [ 5.035887    6.7939177  -6.0690565 ]
 [ 5.7620425   0.97016305 -4.359738  ]
 [ 4.027749    0.98309577 -3.5789104 ]
 [ 3.2470188   0.99789584 -5.3132324 ]
 [ 4.9813113   0.9849631  -6.0940604 ]]",6.6113175669493405,"30440640
-0.410466 0.006484 0.911853 11.158258
0.037591 0.999245 0.009816 3.626283
-0.911101 0.038307 -0.410400 -4.829132
0.000000 0.000000 0.000000 1.000000
"
1,Person,79.87255859375,Person,6,[ 1.39061868  3.71219563 -5.89080524],[1.64114714 5.29236603 1.64114559],"[[ 911.  200.]
 [1010.  200.]
 [1010.  531.]
 [ 911.  531.]]","[[ 2.497082    6.370547   -5.476095  ]
 [ 1.0006486   6.3817058  -4.802358  ]
 [ 0.32699487  6.394476   -6.298817  ]
 [ 1.823429    6.3833175  -6.972555  ]
 [ 2.4473639   1.0784634  -5.498874  ]
 [ 0.9509296   1.089622   -4.825137  ]
 [ 0.2772766   1.1023923  -6.3215966 ]
 [ 1.7737107   1.0912338  -6.995333  ]]",6.052718954854978,"30440640
-0.410466 0.006484 0.911853 11.158258
0.037591 0.999245 0.009816 3.626283
-0.911101 0.038307 -0.410400 -4.829132
0.000000 0.000000 0.000000 1.000000
"
2,Person,71.1025619506836,Person,1,[2.8839252  3.97867513 5.922194  ],[2.17355633 5.19772673 2.17355609],"[[321. 237.]
 [409. 237.]
 [409. 472.]
 [321. 472.]]","[[4.3672595 6.5924196 6.504279 ]
 [2.3853624 6.6071987 7.396586 ]
 [1.4931661 6.6241117 5.414656 ]
 [3.4750638 6.6093326 4.522349 ]
 [4.3184304 1.3949704 6.481907 ]
 [2.3365328 1.4097493 7.3742146]
 [1.4443364 1.4266627 5.392284 ]
 [3.4262347 1.4118836 4.4999776]]",6.587063562625729,"30440640
-0.410466 0.006484 0.911853 11.158258
0.037591 0.999245 0.009816 3.626283
-0.911101 0.038307 -0.410400 -4.829132
0.000000 0.000000 0.000000 1.000000
"
3,Person,79.25784301757812,Person,2,[-3.06846189  3.7280345   2.52667952],[1.65320051 5.49860907 1.65320086],"[[593. 265.]
 [650. 265.]
 [650. 444.]
 [593. 444.]]","[[-1.9487114  6.4888787  2.9458354]
 [-3.4561372  6.500119   3.6245213]
 [-4.1347384  6.512984   2.1170704]
 [-2.627312   6.501743   1.4383845]
 [-2.0003664  0.9905636  2.9221687]
 [-3.5077932  1.0018041  3.6008546]
 [-4.186394   1.0146681  2.0934036]
 [-2.6789677  1.0034275  1.4147179]]",3.9748670137198387,"30440640
-0.410466 0.006484 0.911853 11.158258
0.037591 0.999245 0.009816 3.626283
-0.911101 0.038307 -0.410400 -4.829132
0.000000 0.000000 0.000000 1.000000
"
4,Person,66.83518981933594,Person,5,[-2.93829465  3.86157489  6.4109354 ],[1.97176039 5.45119095 1.97176027],"[[488. 265.]
 [542. 265.]
 [542. 407.]
 [488. 407.]]","[[-1.6023043  6.600751   6.912908 ]
 [-3.4001997  6.614158   7.7223716]
 [-4.209562   6.6295004  5.9244456]
 [-2.4116666  6.616094   5.1149826]
 [-1.6535151  1.1498511  6.889445 ]
 [-3.4514096  1.1632578  7.698908 ]
 [-4.2607737  1.1786008  5.9009833]
 [-2.4628782  1.1651938  5.09152  ]]",7.05221016225537,"30440640
-0.410466 0.006484 0.911853 11.158258
0.037591 0.999245 0.009816 3.626283
-0.911101 0.038307 -0.410400 -4.829132
0.000000 0.000000 0.000000 1.000000
"
5,Person,80.8648452758789,Person,3,[-9.21061993  3.70005178 -4.10266495],[1.64044702 5.03080559 1.64045048],"[[846. 296.]
 [891. 296.]
 [891. 437.]
 [846. 437.]]","[[ -8.109821    6.227682   -3.6725686]
 [ -9.605621    6.238836   -2.9991179]
 [-10.278986    6.2516007  -4.49494  ]
 [ -8.783188    6.2404466  -5.16839  ]
 [ -8.157084    1.1971451  -3.694222 ]
 [ -9.652881    1.2082993  -3.020772 ]
 [-10.326247    1.221064   -4.516593 ]
 [ -8.830449    1.2099098  -5.190043 ]]",10.083024303307598,"30440640
-0.410466 0.006484 0.911853 11.158258
0.037591 0.999245 0.009816 3.626283
-0.911101 0.038307 -0.410400 -4.829132
0.000000 0.000000 0.000000 1.000000
"
6,Person,62.48735809326172,Person,4,[-7.36230612  3.6649704   1.82366574],[1.64047992 5.2334938  1.64048016],"[[672. 290.]
 [716. 290.]
 [716. 432.]
 [672. 432.]]","[[-6.251661    6.2936172   2.2537184 ]
 [-7.7474875   6.304772    2.927182  ]
 [-8.420867    6.317537    1.4313306 ]
 [-6.9250402   6.306383    0.75786686]
 [-6.300826    1.0604029   2.2311928 ]
 [-7.796653    1.071557    2.9046566 ]
 [-8.470032    1.0843222   1.4088044 ]
 [-6.974207    1.073168    0.73534185]]",7.5848077167222945,"30440640
-0.410466 0.006484 0.911853 11.158258
0.037591 0.999245 0.009816 3.626283
-0.911101 0.038307 -0.410400 -4.829132
0.000000 0.000000 0.000000 1.000000
"
