,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,6,[-3.20889354  2.80209541 -6.53748655],[2.0114212  5.89241648 2.01142097],"[[ 891.  193.]
 [1031.  193.]
 [1031.  605.]
 [ 891.  605.]]","[[-3.2065897   5.768107   -5.123697  ]
 [-4.627902    5.7660937  -6.5469613 ]
 [-3.2046373   5.764544   -7.968273  ]
 [-1.7833246   5.766557   -6.545009  ]
 [-3.2056358  -0.12430523 -5.1163154 ]
 [-4.626948   -0.12631844 -6.53958   ]
 [-3.2036831  -0.12786879 -7.960891  ]
 [-1.7823707  -0.12585537 -6.537627  ]]",7.282563296553927,"3A0D2EE0
0.708127 0.023111 0.705706 -1.001699
0.017330 0.998594 -0.050092 2.832424
-0.705872 0.047702 0.706731 1.999368
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,7,[-7.10109138  2.86351967 -3.5268662 ],[1.81172776 5.97624207 1.81172824],"[[577. 193.]
 [693. 193.]
 [693. 582.]
 [577. 582.]]","[[-7.1044636   5.8699694  -2.2444458 ]
 [-8.384669    5.868156   -3.526409  ]
 [-7.1027045   5.86676    -4.8066134 ]
 [-5.8224998   5.868573   -3.5246506 ]
 [-7.103496   -0.10626817 -2.2369587 ]
 [-8.383701   -0.10808134 -3.5189216 ]
 [-7.1017365  -0.10947798 -4.799127  ]
 [-5.821532   -0.10766403 -3.5171633 ]]",7.928700021579918,"3A0D2EE0
0.708127 0.023111 0.705706 -1.001699
0.017330 0.998594 -0.050092 2.832424
-0.705872 0.047702 0.706731 1.999368
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,1,[-1.37941396  2.82039142 -9.28424644],[2.34500766 5.96845293 2.34500861],"[[1069.  205.]
 [1218.  205.]
 [1218.  592.]
 [1069.  592.]]","[[ -1.3683767    5.828052    -7.643613  ]
 [ -3.0254097    5.8257046   -9.30292   ]
 [ -1.3661003    5.823897   -10.959952  ]
 [  0.290932     5.8262444   -9.300644  ]
 [ -1.3674105   -0.14039594  -7.6361346 ]
 [ -3.0244431   -0.14274316  -9.295443  ]
 [ -1.3651344   -0.14455047 -10.952474  ]
 [  0.29189882  -0.14220324  -9.293166  ]]",9.386160819287605,"3A0D2EE0
0.708127 0.023111 0.705706 -1.001699
0.017330 0.998594 -0.050092 2.832424
-0.705872 0.047702 0.706731 1.999368
0.000000 0.000000 0.000000 1.000000
"
3,Person,Person,8,[-7.25296926  2.83889341 -8.97764111],[2.13080931 5.87661839 2.13081074],"[[757. 266.]
 [850. 266.]
 [850. 522.]
 [757. 522.]]","[[ -7.254224     5.7983847   -7.4748964 ]
 [ -8.7599       5.7962527   -8.982639  ]
 [ -7.252156     5.79461    -10.488315  ]
 [ -5.7464805    5.796743    -8.980571  ]
 [ -7.2532725   -0.07822935  -7.467533  ]
 [ -8.758947    -0.08036204  -8.975277  ]
 [ -7.2512045   -0.0820043  -10.480951  ]
 [ -5.7455287   -0.0798716   -8.973207  ]]",11.541386527653179,"3A0D2EE0
0.708127 0.023111 0.705706 -1.001699
0.017330 0.998594 -0.050092 2.832424
-0.705872 0.047702 0.706731 1.999368
0.000000 0.000000 0.000000 1.000000
"
