,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,77.62711334228516,Person,0,[-5.29130888  3.8998301   5.04716158],[1.79901564 5.48347759 1.79901445],"[[320. 232.]
 [394. 232.]
 [394. 457.]
 [320. 457.]]","[[-4.7771616  6.6343236  6.2501407]
 [-6.4401846  6.656921   5.5643587]
 [-5.754232   6.6681123  3.9012895]
 [-4.091209   6.645515   4.587071 ]
 [-4.8278303  1.1513848  6.1923456]
 [-6.490856   1.1739823  5.5065646]
 [-5.804902   1.1851734  3.843494 ]
 [-4.1418796  1.162576   4.5292754]]",7.312440746281011,"DDB89E0
0.381063 -0.022943 0.924264 9.376248
0.017260 0.999695 0.017700 3.730231
-0.924388 0.009208 0.381343 3.411076
0.000000 0.000000 0.000000 1.000000
"
1,Person,79.76366424560547,Person,1,[-4.39153671  3.75381351 -3.34455609],[1.64052987 5.14919996 1.64052999],"[[655. 267.]
 [712. 267.]
 [712. 445.]
 [655. 445.]]","[[-3.9219978  6.3217974 -2.2467687]
 [-5.4385166  6.342404  -2.872136 ]
 [-4.8129935  6.3526087 -4.3886957]
 [-3.2964742  6.332002  -3.7633288]
 [-3.969578   1.1731035 -2.3010402]
 [-5.4860973  1.19371   -2.9264076]
 [-4.860574   1.2039151 -4.442968 ]
 [-3.3440547  1.1833085 -3.8176003]]",5.520113237895558,"DDB89E0
0.381063 -0.022943 0.924264 9.376248
0.017260 0.999695 0.017700 3.730231
-0.924388 0.009208 0.381343 3.411076
0.000000 0.000000 0.000000 1.000000
"
2,Person,86.49591827392578,Person,2,[-3.95234609  4.12591076 -7.47356987],[1.80520272 5.87859917 1.80519962],"[[782. 252.]
 [840. 252.]
 [840. 441.]
 [782. 441.]]","[[-3.4357848  7.0579123 -6.2618227]
 [-5.1045256  7.0805874 -6.949962 ]
 [-4.416214   7.091817  -8.618751 ]
 [-2.7474732  7.069142  -7.930612 ]
 [-3.490105   1.1798906 -6.323782 ]
 [-5.1588473  1.2025657 -7.0119214]
 [-4.4705358  1.2137953 -8.680711 ]
 [-2.801793   1.1911203 -7.9925704]]",8.45430577807469,"DDB89E0
0.381063 -0.022943 0.924264 9.376248
0.017260 0.999695 0.017700 3.730231
-0.924388 0.009208 0.381343 3.411076
0.000000 0.000000 0.000000 1.000000
"
