,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,72.0711441040039,Person,0,[-1.76476622  4.14692354 -2.87342477],[1.71432316 5.56217098 1.71432376],"[[572. 185.]
 [670. 185.]
 [670. 502.]
 [572. 502.]]","[[-1.5641613  6.938     -1.6796712]
 [-2.9636464  6.935583  -2.6697931]
 [-1.973524   6.9354    -4.069279 ]
 [-0.5740385  6.9378176 -3.079157 ]
 [-1.5581     1.3758347 -1.6746567]
 [-2.957585   1.3734169 -2.6647792]
 [-1.9674611  1.3732344 -4.064265 ]
 [-0.5679768  1.3756521 -3.074143 ]]",3.3720868461601294,"13349E0
0.577221 -0.036180 0.815786 5.972343
0.010053 0.999256 0.037204 4.107225
-0.816526 -0.013274 0.577156 2.293996
0.000000 0.000000 0.000000 1.000000
"
1,Person,73.55426025390625,Person,1,[-3.97494721  3.96661401 -3.02670288],[1.63982213 5.45107269 1.63982272],"[[545. 223.]
 [621. 223.]
 [621. 481.]
 [545. 481.]]","[[-3.782514   6.7017794 -1.8857594]
 [-5.1211805  6.699467  -2.8328526]
 [-4.174086   6.699292  -4.1715193]
 [-2.83542    6.701605  -3.2244263]
 [-3.7765732  1.2507126 -1.8808454]
 [-5.1152396  1.2484    -2.8279388]
 [-4.168145   1.2482256 -4.1666055]
 [-2.8294797  1.250538  -3.2195122]]",4.996112056799282,"13349E0
0.577221 -0.036180 0.815786 5.972343
0.010053 0.999256 0.037204 4.107225
-0.816526 -0.013274 0.577156 2.293996
0.000000 0.000000 0.000000 1.000000
"
2,Person,89.35726928710938,Person,2,[-3.8878696   4.29114103 -7.2683897 ],[1.83900046 5.80304575 1.83899999],"[[696. 226.]
 [768. 226.]
 [768. 453.]
 [696. 453.]]","[[-3.6718569  7.203389  -5.988776 ]
 [-5.173121   7.2007957 -7.050906 ]
 [-4.1109896  7.2006    -8.552172 ]
 [-2.6097255  7.2031937 -7.490042 ]
 [-3.6655333  1.4003484 -5.9835453]
 [-5.1667976  1.3977548 -7.045675 ]
 [-4.104666   1.397559  -8.546941 ]
 [-2.6034021  1.4001527 -7.484811 ]]",8.242876855631474,"13349E0
0.577221 -0.036180 0.815786 5.972343
0.010053 0.999256 0.037204 4.107225
-0.816526 -0.013274 0.577156 2.293996
0.000000 0.000000 0.000000 1.000000
"
