,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,87.15120697021484,Person,3,[-1.68803716  4.31276178 -2.72733974],[1.66682196 5.94502831 1.66682243],"[[822.  66.]
 [979.  66.]
 [979. 628.]
 [822. 628.]]","[[-1.9661939   7.2719207  -1.5407207 ]
 [-2.886886    7.273111   -2.930189  ]
 [-1.4976395   7.303752   -3.8507068 ]
 [-0.57694834  7.3025613  -2.4612386 ]
 [-1.8774377   1.3278983  -1.6046276 ]
 [-2.7981293   1.329089   -2.9940956 ]
 [-1.4088832   1.3597302  -3.9146135 ]
 [-0.4881919   1.3585397  -2.5251455 ]]",3.207468086499133,"13349E0
0.833354 -0.033193 0.551742 -0.803631
0.022035 0.999397 0.026843 4.210402
-0.552300 -0.010212 0.833583 3.417060
0.000000 0.000000 0.000000 1.000000
"
1,Person,83.01121520996094,Person,0,[-4.56761217  4.35060501 -3.25253272],[1.71002722 5.55397606 1.71002614],"[[624. 177.]
 [742. 177.]
 [742. 548.]
 [624. 548.]]","[[-4.858776   7.1148214 -2.03866  ]
 [-5.803332   7.1160436 -3.4641433]
 [-4.3780756  7.147479  -4.408521 ]
 [-3.4335203  7.1462574 -2.9830387]
 [-4.775858   1.5617853 -2.0983634]
 [-5.7204137  1.5630074 -3.5238457]
 [-4.2951574  1.5944427 -4.468224 ]
 [-3.350602   1.593221  -3.042741 ]]",5.607321111243741,"13349E0
0.833354 -0.033193 0.551742 -0.803631
0.022035 0.999397 0.026843 4.210402
-0.552300 -0.010212 0.833583 3.417060
0.000000 0.000000 0.000000 1.000000
"
2,Person,84.46592712402344,Person,2,[-4.53518391  4.57143974 -7.52881575],[1.79999137 5.81261063 1.79999125],"[[765. 199.]
 [840. 199.]
 [840. 486.]
 [765. 486.]]","[[-4.83346    7.4648933 -6.252342 ]
 [-5.827709   7.4661794 -7.7528205]
 [-4.327471   7.4992685 -8.746883 ]
 [-3.333221   7.4979815 -7.246403 ]
 [-4.7466803  1.6532665 -6.3148255]
 [-5.7409296  1.6545526 -7.815304 ]
 [-4.240691   1.6876419 -8.809365 ]
 [-3.2464416  1.686356  -7.3088865]]",8.789252505652737,"13349E0
0.833354 -0.033193 0.551742 -0.803631
0.022035 0.999397 0.026843 4.210402
-0.552300 -0.010212 0.833583 3.417060
0.000000 0.000000 0.000000 1.000000
"
