,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,87.60408020019531,Person,0,[-4.90826321  2.91470408 -3.05400491],[1.64071834 5.24910021 1.64071906],"[[662. 197.]
 [755. 197.]
 [755. 523.]
 [662. 523.]]","[[-5.9693065   5.557665   -2.6110094 ]
 [-5.4036555   5.5335965  -4.1509504 ]
 [-3.8635378   5.5485387  -3.5854688 ]
 [-4.4291883   5.5726075  -2.045528  ]
 [-5.9509773   0.30934736 -2.5222461 ]
 [-5.385327    0.28527844 -4.0621877 ]
 [-3.845209    0.30022088 -3.4967055 ]
 [-4.41086     0.32428977 -1.9567647 ]]",5.780829843525777,"17AE09E0
0.938650 -0.010155 -0.344720 -8.692275
0.026489 0.998736 0.042706 3.175929
0.343851 -0.049217 0.937734 4.638441
0.000000 0.000000 0.000000 1.000000
"
1,Person,87.6630630493164,Person,1,[-6.93756819  3.18898869 -4.20885277],[1.68314898 6.02760696 1.68314874],"[[522. 160.]
 [622. 160.]
 [622. 519.]
 [522. 519.]]","[[-8.028349    6.221665   -3.7602692 ]
 [-7.4480705   6.1969743  -5.340034  ]
 [-5.868123    6.212302   -4.759928  ]
 [-6.448402    6.236994   -3.1801634 ]
 [-8.007302    0.19495648 -3.6583421 ]
 [-7.4270234   0.17026514 -5.2381063 ]
 [-5.847076    0.18559378 -4.6580005 ]
 [-6.427355    0.21028532 -3.0782356 ]]",8.114449702931726,"17AE09E0
0.938650 -0.010155 -0.344720 -8.692275
0.026489 0.998736 0.042706 3.175929
0.343851 -0.049217 0.937734 4.638441
0.000000 0.000000 0.000000 1.000000
"
2,Person,81.70487976074219,Person,2,[-1.87632859  3.03272581 -2.87177038],[1.67118621 5.7181282  1.67118549],"[[826. 195.]
 [920. 195.]
 [920. 518.]
 [826. 518.]]","[[-2.961992    5.9105935  -2.4252603 ]
 [-2.3858376   5.886078   -3.9937966 ]
 [-0.8171203   5.9012976  -3.417814  ]
 [-1.3932743   5.925813   -1.8492773 ]
 [-2.9420257   0.19331774 -2.3285663 ]
 [-2.3658712   0.16880162 -3.8971026 ]
 [-0.7971543   0.18402153 -3.3211198 ]
 [-1.3733083   0.20853746 -1.7525831 ]]",3.4304043631773147,"17AE09E0
0.938650 -0.010155 -0.344720 -8.692275
0.026489 0.998736 0.042706 3.175929
0.343851 -0.049217 0.937734 4.638441
0.000000 0.000000 0.000000 1.000000
"
